focal_taxon,tax_scale,family,order,n_spp,n_individuals,n_loci,loci_type,a_posteriori?,priori_posteriori,year,citation,citation_for_plot
Arbophilia,species,Phasianidae,Galliformes,14,14,2679,UCE,no,a priori,2020,Chen et al. 2020. MPE,
Arbophilia,species,Phasianidae,Galliformes,13,13,207,exon,no,a priori,2020,Chen et al. 2020. MPE,
Sphenisciformes,species,Spheniscidae,Sphenisciformes,18,22,4057,UCE,yes,a posteriori,2020,Vianna et al. 2020. PNAS,
Sphenisciformes,species,Spheniscidae,Sphenisciformes,18,22,11011,exon,yes,a posteriori,2020,Vianna et al. 2020. PNAS,
Sphenisciformes,species,Spheniscidae,Sphenisciformes,18,22,8040,intron,yes,a posteriori,2020,Vianna et al. 2020. PNAS,
Zosterops,species,Zosteropidae,Passeriformes,10,65,1428,RADseq,no,a priori,2020,Manthey et al. 2020. Evolution,
Zosterops,species,Zosteropidae,Passeriformes,10,26,4367,UCE,no,a priori,2020,Manthey et al. 2020. Evolution,
Tijuca-Lipaugus,species,Cotingidae,Passeriformes,10,14,1079 ,UCE,no,a priori,2020,Settlecowski et al. 2020. MPE,
Turdus,species,Turdidae,Passeriformes,53,104,854,UCE,no,a priori,2020,Bastista et al. 2020. Proc B,
Trogonidae,genera,Trogonidae,Trogoniformes,12,12,3581,UCE,no,a priori,2020,Oliveros et al. 2020. Ibis,
Paleognathae,species,-,-,15,15,12676,CNEE,yes,a posteriori,2019,Cloutier et al. 2019. Systematic Biology,
Paleognathae,species,-,-,15,15,5016,intron,yes,a posteriori,2019,Cloutier et al. 2019. Systematic Biology,
Paleognathae,species,-,-,15,15,3158,UCE,yes,a posteriori,2019,Cloutier et al. 2019. Systematic Biology,
Coraciiformes,species,-,Coraciiformes,196,196,675,UCE,no,a priori,2019,McCullough et al. 2019. Proc B,
Hydrobates,species,Hydrobatidae,Procellariformes,7,133,2608,RADseq,no,a priori,2019,Taylor et al. 2019. MPE,
Oriolus,species,Oriolidae,Passeriformes,19,19,?,UCE,no,a priori,2019,Jønsson et al. 2019. MPE,
Meliphagidae,species,Meliphagidae,Passeriformes,56,56,2228,UCE,no,a priori,2019,Andersen et al. 2019. Emu,
Aves,orders,-,-,48,48,6194,indel,yes,a posteriori,2019,Houde et al. 2019. Diversity,
Dendrortyx,species,Odontophoridae,Galliformes,3,14,1516,UCE,no,a priori,2019,Tsai et al. 2019. MPE,
Empidonax,species,Tyrannidae,Passeriformes,2,134,3427,RADseq,no,a priori,2019,Linck et al. 2019. Systematic Biology,
Empidonax,species,Tyrannidae,Passeriformes,4,34,4203,UCE,no,a priori,2019,Linck et al. 2019. Systematic Biology,
Tropoderdix,genera,-,Galliformes,26,26,4643,UCE,no,a priori,2018,Chen et al. 2018. MPE,
Tropoderdix,genera,-,Galliformes,11,11,214,exon,no,a priori,2018,Chen et al. 2018. MPE,
Tropoderdix,genera,-,Galliformes,12,12,92,intron,no,a priori,2018,Chen et al. 2018. MPE,
Aves,orders,-,-,48,48,63,exon,yes,a priori,2018,Liu et al. 2018. Scientific Reports,
