#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Spea multiplicata","Eukaryota;Animals;Amphibians","","SAMN10605271","PRJNA529692","GCA_009364415.1","Scaffold",1075.97,39.9,,"VKOC01",49736,0,"2019-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/364/415/GCA_009364415.1_usc_Smult_1.0",
"Nanorana parkeri","Eukaryota;Animals;Amphibians","BGI_ZX_2015","SAMN02720813","PRJNA344660","GCA_000935625.1","Scaffold",2053.87,42.7,"mitochondrion MT:NC_026789.1/","JYOU01",25188,24758,"2015-03-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/625/GCA_000935625.1_ASM93562v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/935/625/GCF_000935625.1_ASM93562v1"
"Scaphiopus holbrookii","Eukaryota;Animals;Amphibians","","SAMN11282362","PRJNA529692","GCA_009364455.1","Scaffold",710.85,40.1,,"VKOB01",1509266,0,"2019-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/364/455/GCA_009364455.1_usc_Sholbrookii_0.1",
"Rana temporaria","Eukaryota;Animals;Amphibians","935","SAMN12123141","PRJNA550264","GCA_009802015.1","Scaffold",4282.72,25.9,,"VIAC01",398602,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/802/015/GCA_009802015.1_UCB_Rtem_1.0",
"Scaphiopus couchii","Eukaryota;Animals;Amphibians","","SAMN11282385","PRJNA529692","GCA_009364435.1","Scaffold",484.149,40.4,,"VKOA01",1378905,0,"2019-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/364/435/GCA_009364435.1_usc_Scouchii_0.1",
"Spea bombifrons","Eukaryota;Animals;Amphibians","","SAMN11282360","PRJNA529692","GCA_009364475.1","Scaffold",765.305,41.6,,"VKNZ01",1629896,0,"2019-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/364/475/GCA_009364475.1_usc_Sbombifrons_0.1",
"Limnodynastes dumerilii","Eukaryota;Animals;Amphibians","SAMAR66870","SAMN13677064","PRJNA597531","GCA_011038615.1","Scaffold",2378.68,36.8,,"WWET01",520896,0,"2020-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/038/615/GCA_011038615.1_BGI_Ldum_1.0",
"Microcaecilia unicolor","Eukaryota;Animals;Amphibians","","SAMEA104387962","PRJEB32738","GCA_901765105.1","Scaffold",3698.32,44,,"CABFKJ01",23870,0,"2019-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/765/105/GCA_901765105.1_aMicUni1.1_alternate_haplotype",
"Geotrypetes seraphini","Eukaryota;Animals;Amphibians","","SAMEA104387963","PRJEB33991","GCA_902459495.1","Scaffold",3271.59,43.2,,"CABPRR01",9650,0,"2019-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/495/GCA_902459495.1_aGeoSer1.1_alternate_haplotype",
"Rhinatrema bivittatum","Eukaryota;Animals;Amphibians","","SAMEA104387956","PRJEB32112","GCA_901001175.1","Scaffold",4615.3,44.3,,"CAAJIF01",27231,0,"2019-05-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/001/175/GCA_901001175.1_aRhiBiv1.1_alternate_haplotype",
"Ambystoma mexicanum","Eukaryota;Animals;Amphibians","laboratory","SAMN03256323","PRJNA269757","GCA_001455525.1","Scaffold",353.835,31.3,,"JXRH01",611505,0,"2015-11-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/525/GCA_001455525.1_AmbMex13_14.1.0",
"Rhinella marina","Eukaryota;Animals;Amphibians","","SAMEA104558286","PRJEB24695","GCA_900303285.1","Contig",2551.76,0,,"ONZH01",31391,0,"2018-03-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/303/285/GCA_900303285.1_RM170330",
"Lithobates catesbeianus","Eukaryota;Animals;Amphibians","Bruno","SAMN03760860","PRJNA285814","GCA_002284835.2","Scaffold",6250.35,43.6998,"mitochondrion MT:KX686108.1","LIAG02",1544635,28681,"2017-01-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/835/GCA_002284835.2_RCv2.1",
"Oophaga pumilio","Eukaryota;Animals;Amphibians","","SAMN09702071","PRJNA550263","GCA_009801035.1","Scaffold",3493.38,26.9,,"VIAB01",125383,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/801/035/GCA_009801035.1_UCB_Opum_1.0",
"Xenopus tropicalis","Eukaryota;Animals;Amphibians","Nigerian","SAMN13041969","PRJNA577946","GCA_000004195.4"," Chromosome",1451.3,40.7533,"chromosome 1:NC_030677.2/CM004443.2; chromosome 2:NC_030678.2/CM004444.2; chromosome 3:NC_030679.2/CM004445.2; chromosome 4:NC_030680.2/CM004446.2; chromosome 5:NC_030681.2/CM004447.2; chromosome 6:NC_030682.2/CM004448.2; chromosome 7:NC_030683.2/CM004449.2; chromosome 8:NC_030684.2/CM004450.2; chromosome 9:NC_030685.2/CM004451.2; chromosome 10:NC_030686.2/CM004452.2; mitochondrion MT:NC_006839.1/","AAMC04",167,45099,"2009-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.4_UCB_Xtro_10.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.4_UCB_Xtro_10.0"
"Ambystoma mexicanum","Eukaryota;Animals;Amphibians","DD151","SAMN06554622","PRJNA378970","GCA_002915635.2"," Chromosome",32396.4,46.5211,"chromosome 1P:CM010927.1; chromosome 1Q:CM010928.1; chromosome 2P:CM010929.1; chromosome 2Q:CM010930.1; chromosome 3P:CM010931.1; chromosome 3Q:CM010932.1; chromosome 4P:CM010933.1; chromosome 4Q:CM010934.1; chromosome 5P:CM010935.1; chromosome 5Q:CM010936.1; chromosome 6P:CM010937.1; chromosome 6Q:CM010938.1; chromosome 7:CM010939.1; chromosome 8:CM010940.1; chromosome 9:CM010941.1; chromosome 10:CM010942.1; chromosome 11:CM010943.1; chromosome 12:CM010944.1; chromosome 13:CM010945.1; chromosome 14:CM010946.1","PGSH01",98070,0,"2018-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/915/635/GCA_002915635.2_ASM291563v2",
"Bufo gargarizans","Eukaryota;Animals;Amphibians","SCDJY-AF-19","SAMN14734018","PRJNA628553","GCA_014858855.1"," Chromosome",4545.47,44.4587,"chromosome 1:CM026465.1; chromosome 2:CM026466.1; chromosome 3:CM026467.1; chromosome 4:CM026468.1; chromosome 5:CM026469.1; chromosome 6:CM026470.1; chromosome 7:CM026471.1; chromosome 8:CM026472.1; chromosome 9:CM026473.1; chromosome 10:CM026474.1; chromosome 11:CM026475.1","JABFFT01",747,0,"2020-10-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/858/855/GCA_014858855.1_ASM1485885v1",
"Microcaecilia unicolor","Eukaryota;Animals;Amphibians","","SAMEA104387962","PRJEB32737","GCA_901765095.1"," Chromosome",4685.94,44.0677,"chromosome 1:NC_044031.1/LR594632.1; chromosome 2:NC_044032.1/LR594633.1; chromosome 3:NC_044033.1/LR594634.1; chromosome 4:NC_044034.1/LR594635.1; chromosome 5:NC_044035.1/LR594636.1; chromosome 6:NC_044036.1/LR594637.1; chromosome 7:NC_044037.1/LR594638.1; chromosome 8:NC_044038.1/LR594639.1; chromosome 9:NC_044039.1/LR594640.1; chromosome 10:NC_044040.1/LR594641.1; chromosome 11:NC_044041.1/LR594642.1; chromosome 12:NC_044042.1/LR594643.1; chromosome 13:NC_044043.1/LR594644.1; chromosome 14:NC_044044.1/LR594645.1; mitochondrion MT:NC_023515.1/","CABFKK01",1081,37109,"2019-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/765/095/GCA_901765095.1_aMicUni1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/765/095/GCF_901765095.1_aMicUni1.1"
"Leptobrachium leishanense","Eukaryota;Animals;Amphibians","GZLS1","SAMN10412277","PRJNA505224","GCA_009667805.1"," Chromosome",3549.06,43.753,"chromosome 1:CM019063.1; chromosome 2:CM019064.1; chromosome 3:CM019065.1; chromosome 4:CM019066.1; chromosome 5:CM019067.1; chromosome 6:CM019068.1; chromosome 7:CM019069.1; chromosome 8:CM019070.1; chromosome 9:CM019071.1; chromosome 10:CM019072.1; chromosome 11:CM019073.1; chromosome 12:CM019074.1; chromosome 13:CM019075.1","RXON01",5302,0,"2019-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/805/GCA_009667805.1_ASM966780v1",
"Pyxicephalus adspersus","Eukaryota;Animals;Amphibians","1538","SAMN08767028","PRJNA439445","GCA_004786255.1"," Chromosome",1563.37,39.2274,"chromosome 1:CM016416.1; chromosome 2:CM016417.1; chromosome 3:CM016418.1; chromosome 4:CM016419.1; chromosome 5:CM016420.1; chromosome 6:CM016421.1; chromosome 7:CM016422.1; chromosome 8:CM016423.1; chromosome 9:CM016424.1; chromosome 10:CM016425.1; chromosome 11:CM016426.1; chromosome 12:CM016427.1; chromosome W:CM016429.1; chromosome Z:CM016428.1","PZQJ01",5411,0,"2019-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/786/255/GCA_004786255.1_Pads_1.0",
