accession,submission_date,sequence_length,organism
J01420,4-Aug-93,16295,Mus musculus
L07095,4-Aug-93,16303,Mus musculus
U20753,30-Nov-95,17009,Felis catus
NC_000934,2-Apr-98,16866,Loxodonta africana
AJ001588,3-Jul-98,17245,Oryctolagus cuniculus
U96639,13-Jan-99,16727,Canis lupus familiaris
Y18475,27-Apr-99,16816,Orycteropus afer
AF034253,2-Jun-99,16613,Sus scrofa
NC_001665,24-Aug-99,16313,Rattus norvegicus
NC_001700,24-Aug-99,17009,Felis catus
NC_000845,24-Aug-99,16613,Sus scrofa
NC_002009,24-Aug-99,16651,Artibeus jamaicensis
NC_001794,24-Aug-99,16896,Osphranter robustus
NC_001610,24-Aug-99,17084,Didelphis virginiana
NC_002008,24-Aug-99,16727,Canis lupus familiaris
NC_002083,24-Aug-99,16499,Pongo abelii
NC_002082,24-Aug-99,16472,Hylobates lar
NC_002078,24-Aug-99,16816,Orycteropus afer
NC_001992,24-Aug-99,16521,Papio hamadryas
NC_001941,24-Aug-99,16616,Ovis aries
NC_001913,24-Aug-99,17245,Oryctolagus cuniculus
NC_001892,24-Aug-99,16602,Glis glis
NC_001821,24-Aug-99,17056,Dasypus novemcinctus
NC_001808,24-Aug-99,16832,Ceratotherium simum
NC_001788,24-Aug-99,16670,Equus asinus
NC_001779,24-Aug-99,16829,Rhinoceros unicornis
NC_001640,24-Aug-99,16660,Equus caballus
NC_001602,24-Aug-99,16797,Halichoerus grypus
NC_001601,24-Aug-99,16402,Balaenoptera musculus
NC_001325,24-Aug-99,16826,Phoca vitulina
NC_001321,24-Aug-99,16398,Balaenoptera physalus
NC_000891,25-Aug-99,17019,Ornithorhynchus anatinus
NC_000884,25-Aug-99,16801,Cavia porcellus
NC_001645,25-Aug-99,16364,Gorilla gorilla
NC_000889,25-Aug-99,16407,Hippopotamus amphibius
NC_001646,25-Aug-99,16389,Pongo pygmaeus
NC_001644,25-Aug-99,16563,Pan paniscus
NC_001643,25-Aug-99,16554,Pan troglodytes
NC_002080,25-Aug-99,17447,Erinaceus europaeus
NC_002391,31-Jan-00,16884,Talpa europaea
Y19192,31-Jan-00,16884,Talpa europaea
AJ238588,6-Jun-00,16507,Sciurus vulgaris
NC_002369,18-Jun-00,16507,Sciurus vulgaris
NC_002503,20-Jul-00,16428,Physeter catodon
NC_002504,26-Jul-00,16652,Vicugna pacos
NC_002521,1-Sep-00,16754,Tupaia belangeri
AF217811,1-Sep-00,16754,Tupaia belangeri
AF304200,31-Oct-00,15978,Sus scrofa
AF304203,31-Oct-00,15977,Sus scrofa
AF304202,31-Oct-00,15977,Sus scrofa
AF304201,31-Oct-00,15979,Sus scrofa
NC_002612,19-Nov-00,16705,Pteropus dasymallus
AB042770,19-Nov-00,16705,Pteropus dasymallus
NC_002626,5-Dec-00,16818,Chalinolobus tuberculatus
NC_002619,5-Dec-00,16741,Pteropus scapulatus
NC_002631,21-Dec-00,16549,Echinops telfairi
NC_002658,1-Feb-01,16626,Thryonomys swinderianus
AJ301644,1-Feb-01,16626,Thryonomys swinderianus
AF358864,19-Apr-01,16852,Isoodon macrourus
NC_002746,19-Apr-01,16852,Isoodon macrourus
AF357238,23-Apr-01,17191,Trichosurus vulpecula
NC_003039,23-Apr-01,17191,Trichosurus vulpecula
NC_002764,1-May-01,16586,Macaca sylvanus
NC_002763,1-May-01,16554,Cebus albifrons
NC_002765,1-May-01,16764,Nycticebus coucang
AF348079,20-Jun-01,17088,Echinosorex gymnura
NC_002808,20-Jun-01,17088,Echinosorex gymnura
AF348159,2-Jul-01,16927,Cephalopachus bancanus
NC_002811,2-Jul-01,16927,Cephalopachus bancanus
AF348082,5-Jul-01,16312,Microtus kikuchii
AF348081,5-Jul-01,17488,Episoriculus fumidus
AF348080,5-Jul-01,16968,Ochotona collaris
NC_003041,5-Jul-01,16312,Microtus kikuchii
NC_003040,5-Jul-01,17488,Episoriculus fumidus
NC_003033,5-Jul-01,16968,Ochotona collaris
AB061527,25-Oct-01,17105,Sorex unguiculatus
AB061526,25-Oct-01,16869,Rhinolophus pumilus
J01415.1,13-Nov-01,16569,Homo sapiens
NC_003314,13-Dec-01,16850,Dugong dugon
NC_003322,17-Dec-01,16996,Vombatus ursinus
NC_003321,17-Dec-01,16360,Tachyglossus aculeatus
AY075116,25-Feb-02,16847,Dugong dugon
AF303111,5-Mar-02,17017,Ursus maritimus
AF303110,5-Mar-02,17020,Ursus arctos
AF303109,5-Mar-02,16841,Ursus americanus
NC_003428,5-Mar-02,17017,Ursus maritimus
