AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCF_009819535.1,Lacerta agilis (lizards),Lacerta agilis,63.42,2019/12/31 00:00,Vertebrate Genomes Project,6613248,86565987,SAMN12629509
GCF_009769535.1,Thamnophis elegans (Western terrestrial garter snake),Thamnophis elegans,62.12,2019/12/23 00:00,Vertebrate Genomes Project,4620601,100851885,SAMN12629499
GCF_004329235.1,Podarcis muralis (Common wall lizard),Podarcis muralis,100,2019/03/07 00:00,CIBIO-InBIO,714612,92398148,SAMN10820182
GCA_009733165.1,Naja naja (Indian cobra),Naja naja,60,2019/12/11 00:00,"Genentech Inc.,",302474,224088900,SAMN11155092
GCF_011800845.1,Zootoca vivipara (common lizard),Zootoca vivipara,70,2020/04/01 00:00,University of Glasgow,219893,92810032,SAMN14329711
GCF_000090745.1,Anolis carolinensis (green anole),Anolis carolinensis,7.1,2011/01/10 00:00,Broad Institute,79867,4033265,SAMN02981230
GCA_003400415.2,Crotalus viridis viridis (prairie rattlesnake),Crotalus viridis,1000,2019/01/08 00:00,University of Texas at Arlington,14888,179897795,SAMN07738522
GCA_900245905.1,Lacerta viridis (green lizard),Lacerta viridis,48,2018/04/26 00:00,German Centre for Integrative Biodiversity Research (iDiv),662519,662519,SAMEA104452607
GCA_003586115.2,Salvator merianae (Argentine black and white tegu),Salvator merianae,134,2018/12/11 00:00,Center for Systems Biology Dresden,500019,55382274,SAMN09273531
GCA_900245895.1,Lacerta bilineata (lizards),Lacerta bilineata,48,2018/04/26 00:00,German Centre for Integrative Biodiversity Research (iDiv),368212,368212,SAMEA104452608
GCA_004798865.1,Varanus komodoensis (Komodo dragon),Varanus komodoensis,144,2019/04/17 00:00,Gladstone Institutes,189463,23831982,SAMN10967258
GCF_900518735.1,Pseudonaja textilis (eastern brown snake),Pseudonaja textilis,73,2018/09/24 00:00,UNIVERSITY OF NEW SOUTH WALES,50443,14685528,SAMEA4800208
GCA_012654045.1,Ptyas mucosa (Dhaman),Ptyas mucosa,59,2020/04/22 00:00,University of Geneva,41154,15963960,SAMN13229211
