Organism Groups,AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmissionYear,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
Amphibia,GCF_902459505.1,Geotrypetes seraphini (caecilians),Geotrypetes seraphini,67,8/18/2019,2019,SC,20656571,272612222,SAMEA104387963,NA,NA,NA,NA
Amphibia,GCF_000004195.4,Xenopus tropicalis (tropical clawed frog),Xenopus tropicalis,111.5,11/14/2019,2019,"University of California, Berkeley",14634335,153961319,SAMN13041969,NA,NA,NA,NA
Amphibia,GCF_901765095.1,Microcaecilia unicolor (caecilians),Microcaecilia unicolor,53,6/22/2019,2019,SC,3661507,376147139,SAMEA104387962,NA,NA,NA,NA
Amphibia,GCF_901001135.1,Rhinatrema bivittatum (two-lined caecilian),Rhinatrema bivittatum,43,6/2/2019,2019,SC,3216284,486875112,SAMEA104387956,NA,NA,NA,NA
Amphibia,GCA_009667805.1,Leptobrachium leishanense (Leishan spiny toad),Leptobrachium leishanense,80.3,11/19/2019,2019,Central China Normal University,1946319,394693044,SAMN10412277,NA,NA,NA,NA
Amphibia,GCA_014858855.1,Bufo gargarizans (Asiatic toad),Bufo gargarizans,103,10/7/2020,2020,"Chengdu Institute of Biology, CAS",1738317,539822115,SAMN14734018,NA,NA,NA,NA
Amphibia,GCA_002915635.2,Ambystoma mexicanum (axolotl),Ambystoma mexicanum,30,12/4/2018,2018,Max Planck Society/University of Kentucky,216366,1412624359,SAMN06554622,NA,NA,NA,NA
Amphibia,GCA_004786255.1,Pyxicephalus adspersus (frogs & toads),Pyxicephalus adspersus,189,4/17/2019,2019,University of Connecticut,30445,157522388,SAMN08767028,NA,NA,NA,NA
Amphibia,GCF_001663975.1,Xenopus laevis (African clawed frog),Xenopus laevis,30,8/9/2016,2016,International Xenopus Sequencing Consortium,19713,136570856,SAMN04518361,NA,NA,NA,NA
Amphibia,GCA_900303285.1,Rhinella marina (marine toad),Rhinella marina,141,3/26/2018,2018,UNIVERSITY OF NEW SOUTH WALES,167498,167498,SAMEA104558286,NA,NA,NA,NA
Amphibia,GCF_000935625.1,Nanorana parkeri (frogs & toads),Nanorana parkeri,83,3/17/2015,2015,BGI-Shenzhen,32798,1069101,SAMN02720813,NA,NA,NA,NA
Amphibia,GCA_009364415.1,Spea multiplicata (Mexican spadefoot toad),Spea multiplicata,21,10/28/2019,2019,University of Southern California,30692,71513,SAMN10605271,NA,NA,NA,NA
Amphibia,GCA_011038615.1,Limnodynastes dumerilii (frogs & toads),Limnodynastes dumerilii,156,2/28/2020,2020,"Kunming Institute of Zoology, Chinese Academy of Sciences",10550,286041,SAMN13677064,NA,NA,NA,NA
