Organism Groups,accession,submission_date,year,ReleaseOrder,sequence_length,organism
Mammalia,J01420,4-Aug-1993,1993,1,16295,Mus musculus
Mammalia,L07095,4-Aug-1993,1993,2,16303,Mus musculus
Osteichthyes,L29771,24-Mar-1994,1994,3,16642,Oncorhynchus mykiss
Mammalia,U20753,30-Nov-1995,1995,4,17009,Felis catus
Osteichthyes,L42813,18-Jan-1996,1996,5,16646,Protopterus annectens
Osteichthyes,U12143,6-Feb-1996,1996,6,16665,Salmo salar
Mammalia,NC_000934,2-Apr-1998,1998,7,16866,Loxodonta africana
Crocodylia,AF069428,13-Jun-1998,1998,8,15898,Alligator mississippiensis
Mammalia,AJ001588,3-Jul-1998,1998,9,17245,Oryctolagus cuniculus
Osteichthyes,AB006953,4-Jul-1998,1998,10,16578,Carassius langsdorfii
Squamata,AB008539,10-Sep-1998,1998,11,17191,Lycodon semicarinatus
Mammalia,U96639,13-Jan-1999,1999,12,16727,Canis lupus familiaris
Aves,Y18522,8-Feb-1999,1999,13,16931,Corvus frugilegus
Chondrichthyes,AF106038,4-Mar-1999,1999,14,16783,Amblyraja radiata
Testudines,AF069423,29-Mar-1999,1999,15,16866,Chrysemys picta
Mammalia,Y18475,27-Apr-1999,1999,16,16816,Orycteropus afer
Aves,AF090341,26-May-1999,1999,17,16895,Vidua chalybeata
Aves,AF090340,26-May-1999,1999,18,17344,Smithornis sharpei
Aves,AF090339,26-May-1999,1999,19,16704,Rhea americana
Aves,AF090338,26-May-1999,1999,20,18068,Falco peregrinus
Aves,AF090337,26-May-1999,1999,21,16616,Aythya americana
Mammalia,AF034253,2-Jun-1999,1999,22,16613,Sus scrofa
Squamata,AB016606,18-Jun-1999,1999,23,17407,Plestiodon egregius lividus
Testudines,AB012104,18-Jun-1999,1999,24,16497,Chelonia mydas
Osteichthyes,AF154851,29-Jun-1999,1999,25,16659,Salvelinus alpinus
Osteichthyes,AF154850,29-Jun-1999,1999,26,16624,Salvelinus fontinalis
Osteichthyes,NC_002574,16-Jul-1999,1999,27,16436,Sigmops gracilis
Osteichthyes,AB016274,16-Jul-1999,1999,28,16436,Sigmops gracilis
Amphibia,NC_001573,24-Aug-1999,1999,29,17553,Xenopus laevis
Aves,NC_002069,24-Aug-1999,1999,30,16931,Corvus frugilegus
Aves,NC_000878,24-Aug-1999,1999,31,18068,Falco peregrinus
Aves,NC_000880,24-Aug-1999,1999,32,16895,Vidua chalybeata
Aves,NC_000879,24-Aug-1999,1999,33,17344,Smithornis sharpei
Aves,NC_000877,24-Aug-1999,1999,34,16616,Aythya americana
Chondrichthyes,NC_002012,24-Aug-1999,1999,35,16738,Squalus acanthias
Chondrichthyes,NC_001950,24-Aug-1999,1999,36,16697,Scyliorhinus canicula
Crocodylia,NC_001922,24-Aug-1999,1999,37,16646,Alligator mississippiensis
Mammalia,NC_001665,24-Aug-1999,1999,38,16313,Rattus norvegicus
Mammalia,NC_001700,24-Aug-1999,1999,39,17009,Felis catus
Mammalia,NC_000845,24-Aug-1999,1999,40,16613,Sus scrofa
Mammalia,NC_002009,24-Aug-1999,1999,41,16651,Artibeus jamaicensis
Mammalia,NC_001794,24-Aug-1999,1999,42,16896,Osphranter robustus
Mammalia,NC_001610,24-Aug-1999,1999,43,17084,Didelphis virginiana
Mammalia,NC_002008,24-Aug-1999,1999,44,16727,Canis lupus familiaris
Mammalia,NC_002083,24-Aug-1999,1999,45,16499,Pongo abelii
Mammalia,NC_002082,24-Aug-1999,1999,46,16472,Hylobates lar
Mammalia,NC_002078,24-Aug-1999,1999,47,16816,Orycteropus afer
Mammalia,NC_001992,24-Aug-1999,1999,48,16521,Papio hamadryas
Mammalia,NC_001941,24-Aug-1999,1999,49,16616,Ovis aries
Mammalia,NC_001913,24-Aug-1999,1999,50,17245,Oryctolagus cuniculus
Mammalia,NC_001892,24-Aug-1999,1999,51,16602,Glis glis
Mammalia,NC_001821,24-Aug-1999,1999,52,17056,Dasypus novemcinctus
Mammalia,NC_001808,24-Aug-1999,1999,53,16832,Ceratotherium simum
Mammalia,NC_001788,24-Aug-1999,1999,54,16670,Equus asinus
Mammalia,NC_001779,24-Aug-1999,1999,55,16829,Rhinoceros unicornis
Mammalia,NC_001640,24-Aug-1999,1999,56,16660,Equus caballus
Mammalia,NC_001602,24-Aug-1999,1999,57,16797,Halichoerus grypus
Mammalia,NC_001601,24-Aug-1999,1999,58,16402,Balaenoptera musculus
