AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCF_000001635.27,Mus musculus (house mouse),Mus musculus,0,2020/06/24 00:00,Genome Reference Consortium,59462871,106145001,
GCF_000001405.39,Homo sapiens (human),Homo sapiens,0,2019/02/28 00:00,Genome Reference Consortium,57879411,67794873,
GCA_009493655.1,Bos grunniens x Bos taurus (dzo),Bos grunniens x Bos taurus,60,2019/11/04 00:00,University of Nebraska - Lincoln,71681919,104392194,SAMN12153487
GCF_902635505.1,Sarcophilus harrisii (Tasmanian devil),Sarcophilus harrisii,88,2019/11/07 00:00,SC,62339597,611347268,SAMEA6099886
GCF_000003025.6,Sus scrofa (pig),Sus scrofa,65,2017/02/07 00:00,The Swine Genome Sequencing Consortium (SGSC),48231277,88231837,SAMN02953785
GCF_003339765.1,Macaca mulatta (Rhesus monkey),Macaca mulatta,0,2019/02/13 00:00,The Genome Institute at Washington University School of Medicine,46608966,82346004,SAMN09435472
GCA_005887515.2,Bos grunniens (domestic yak),Bos grunniens,239,2019/06/10 00:00,Lanzhou University,44716738,114386978,SAMN11569574
GCA_014523465.1,Ovis orientalis (Asiatic mouflon),Ovis orientalis,80,2020/09/10 00:00,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",42163491,103690580,SAMN15835291
GCF_000181335.3,Felis catus (domestic cat),Felis catus,72,2017/11/20 00:00,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,41915695,83967707,SAMN02953640
GCF_009829155.1,Mustela erminea (ermine),Mustela erminea,62.86,2020/01/03 00:00,Vertebrate Genomes Project,36329944,130149454,SAMN12611999
GCF_009762305.2,Zalophus californianus (California sea lion),Zalophus californianus,80.51,2020/07/14 00:00,Vertebrate Genomes Project,32626160,147124152,SAMN12368149
GCA_004115265.3,Rhinolophus ferrumequinum (greater horseshoe bat),Rhinolophus ferrumequinum,52.8,2019/05/17 00:00,Vertebrate Genomes Project,31900497,88025743,SAMN09948510
GCA_902655055.2,Lutra lutra (Eurasian river otter),Lutra lutra,63,2020/07/31 00:00,SC,30403456,149004807,SAMEA994731
GCA_000002285.4,Canis lupus familiaris (dog),Canis lupus,100,2020/06/01 00:00,Dog Genome Sequencing Consortium,27487084,63738581,SAMN02953603
GCF_003369695.1,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,136,2018/11/30 00:00,University of Adelaide,26764281,104466507,SAMN08473802
GCF_001704415.1,Capra hircus (goat),Capra hircus,50,2016/08/24 00:00,USDA ARS,26244591,87277232,SAMN03863711
GCF_002263795.1,Bos taurus (cattle),Bos taurus,80,2018/04/11 00:00,USDA ARS,25896116,103308737,SAMN03145444
GCF_009663435.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,40,2020/05/22 00:00,McDonnell Genome Institute at Washington University,25227091,98198953,SAMN12783337
GCF_012295265.1,Canis lupus dingo (dingo),Canis lupus,123.6,2020/04/15 00:00,University of New South Wales,23108747,64752584,SAMN14395261
GCF_003121395.1,Bubalus bubalis (water buffalo),Bubalus bubalis,69,2018/05/14 00:00,University of Adelaide,22441509,117219835,SAMN08640746
GCF_015220235.1,Choloepus didactylus (southern two-toed sloth),Choloepus didactylus,56.84,2020/11/03 00:00,Vertebrate Genomes Project,20994632,146178362,SAMN12612024
GCF_008692025.1,Phocoena sinus (vaquita),Phocoena sinus,67.26,2019/09/26 00:00,Vertebrate Genomes Project,20218762,115469292,SAMN12325353
GCA_015852505.1,Tachyglossus aculeatus (Australian echidna),Tachyglossus aculeatus,58.29,2020/12/08 00:00,Vertebrate Genomes Project,19859057,63379719,SAMN12634963
GCA_902686455.2,Sciurus vulgaris (Eurasian red squirrel),Sciurus vulgaris,23,2020/07/31 00:00,SC,16333633,153872958,SAMEA994733
GCA_013052645.2,Pan paniscus (pygmy chimpanzee),Pan paniscus,74,2020/11/17 00:00,University of Washington,16070023,53354638,SAMN11123633
GCA_004115215.4,Ornithorhynchus anatinus (platypus),Ornithorhynchus anatinus,58.8,2020/04/13 00:00,Vertebrate Genomes Project,15146802,83338043,SAMN08537700
GCA_902686445.2,Sciurus carolinensis (gray squirrel),Sciurus carolinensis,74,2020/07/31 00:00,SC,13975867,148229995,SAMEA994726
GCA_014182915.1,Bos gaurus (gaur),Bos gaurus,59,2020/08/13 00:00,"USDA, ARS, USMARC",13340585,104471907,SAMN05558794
GCF_006542625.1,Nomascus leucogenys (northern white-cheeked gibbon),Nomascus leucogenys,79.7,2019/07/02 00:00,University of Washington,12782853,35886894,SAMN11124083
GCF_002880755.1,Pan troglodytes (chimpanzee),Pan troglodytes,124,2018/01/19 00:00,University of Washington,12268567,53103722,SAMN06272697
GCF_011762505.1,Arvicanthis niloticus (African grass rat),Arvicanthis niloticus,60.95,2020/03/27 00:00,Vertebrate Genomes Project,11143170,82689117,SAMN12611849
GCF_002880775.1,Pongo abelii (Sumatran orangutan),Pongo abelii,101.2,2018/01/19 00:00,University of Washington,11074009,98475126,SAMN06275555
GCF_011762595.1,Tursiops truncatus (common bottlenose dolphin),Tursiops truncatus,63.7,2020/03/27 00:00,Vertebrate Genomes Project,9729386,108430135,SAMN12326775
GCF_008122165.1,Gorilla gorilla gorilla (western lowland gorilla),Gorilla gorilla,66.9,2019/08/28 00:00,University of Washington,9522971,26116462,SAMN11078986
GCF_007474595.2,Lynx canadensis (Canada lynx),Lynx canadensis,72,2020/07/14 00:00,Vertebrate Genomes Project,7503561,147275701,SAMN09948483
GCF_004126475.2,Phyllostomus discolor (pale spear-nosed bat),Phyllostomus discolor,65.8,2020/05/12 00:00,Vertebrate Genomes Project,6892556,171742863,SAMN09948786
GCF_009873245.2,Balaenoptera musculus (Blue whale),Balaenoptera musculus,51.16,2020/10/02 00:00,G10K,6315640,110314666,SAMN12287136
GCF_007565055.1,Rhinopithecus roxellana (golden snub-nosed monkey),Rhinopithecus roxellana,100,2019/07/29 00:00,Northwest University,5723610,144559847,SAMN11039125
GCF_903992535.1,Arvicola amphibius (Eurasian water vole),Arvicola amphibius,55,2020/08/06 00:00,SC,5392280,138658583,SAMEA994740
GCF_009834535.1,Camelus ferus (Wild Bactrian camel),Camelus ferus,50,2020/01/08 00:00,The Bactrian Camels Genome Sequencing and Analysis Consortium,5365398,76025729,SAMN12102236
GCA_903995435.1,Acomys russatus (golden spiny mouse),Acomys russatus,58,2020/08/21 00:00,SC,4450755,66475698,SAMEA104026431
GCA_903992545.1,Pipistrellus pipistrellus (common pipistrelle),Pipistrellus pipistrellus,62,2020/08/06 00:00,SC,4446752,94929986,SAMEA994724
GCF_011100635.1,Trichosurus vulpecula (common brushtail),Trichosurus vulpecula,60.73,2020/03/10 00:00,Vertebrate Genomes Project,4314688,442560073,SAMN12629507
GCF_004664715.2,Peromyscus leucopus (white-footed mouse),Peromyscus leucopus,60,2020/10/02 00:00,University of California Irvine,3487364,114273790,SAMN03488028
GCF_002742125.1,Ovis aries (sheep),Ovis aries,126,2017/11/02 00:00,Baylor College of Medicine Human Genome Sequencing Center,2572683,107697089,SAMEA104496890
GCF_903995425.1,Onychomys torridus (southern grasshopper mouse),Onychomys torridus,59,2020/08/21 00:00,SC,2276141,112723509,SAMEA104026389
GCF_011064425.1,Rattus rattus (black rat),Rattus rattus,130,2020/03/04 00:00,CSIRO,1635336,158824752,SAMN12855339
GCF_002863925.1,Equus caballus (horse),Equus caballus,88,2018/01/05 00:00,University of Louisville,1502753,87230776,SAMN02953672
GCF_008728515.1,Papio anubis (olive baboon),Papio anubis,60,2019/10/02 00:00,"University of California, San Francisco",1464978,140274886,SAMN11179045
GCF_003255815.1,Theropithecus gelada (gelada),Theropithecus gelada,56,2018/06/19 00:00,Kenneth Chiou's shared submissions,310061,130230028,SAMN09197221
GCA_008795835.1,Panthera leo (lion),Panthera leo,46,2019/10/07 00:00,Stanford University,286703,136051765,SAMN12375718
GCA_010411085.1,Cervus hanglu yarkandensis (Yarkand deer),Cervus hanglu,62.9,2020/02/12 00:00,"Institute of Special Wild Economic Animals and Plants, Chinese Academy of Agricultural Sciences",268660,77688133,SAMN12710658
GCF_000803125.2,Camelus dromedarius (Arabian camel),Camelus dromedarius,65,2019/10/07 00:00,Vetmeduni Vienna,236391,70369702,SAMN03252735
GCA_008787405.2,Muntiacus reevesi (Reeves' muntjac),Muntiacus reevesi,34,2019/10/07 00:00,"University of California, Berkeley",225142,94101870,SAMN11611988
GCA_008782695.1,Muntiacus muntjak (muntjak),Muntiacus muntjak,41,2019/10/07 00:00,"University of California, Berkeley",215534,682452208,SAMN11611925
GCF_000165445.2,Microcebus murinus (gray mouse lemur),Microcebus murinus,221.6,2017/02/06 00:00,Baylor College of Medicine,210702,108171978,SAMN06275470
GCF_002007445.1,Ailuropoda melanoleuca (giant panda),Ailuropoda melanoleuca,93,2020/04/20 00:00,"Institute of Zoology, Chinese Academy of Sciences",127380,129245720,SAMN04193337
GCF_000002295.2,Monodelphis domestica (gray short-tailed opossum),Monodelphis domestica,0,2007/01/25 00:00,"The Genome Sequencing Platform, The Genome Assembly Team",108014,59809810,SAMN02953611
GCA_000002295.1,Monodelphis domestica (gray short-tailed opossum),Monodelphis domestica,0,2007/01/25 00:00,"The Genome Sequencing Platform, The Genome Assembly Team",107990,527952102,SAMN02953611
GCF_000001895.5,Rattus norvegicus (Norway rat),Rattus norvegicus,0,2014/07/01 00:00,Rat Genome Sequencing Consortium,100461,14986627,SAMN02808228
GCF_002776525.3,Piliocolobus tephrosceles (Ugandan red Colobus),Piliocolobus tephrosceles,38.61,2019/12/12 00:00,University of Oregon,98446,131283114,SAMN07735529
GCF_000364345.1,Macaca fascicularis (crab-eating macaque),Macaca fascicularis,68,2013/06/12 00:00,Washington University (WashU),86040,88649475,SAMN00811240
GCA_015741225.1,Hydrochoerus hydrochaeris (capybara),Hydrochoerus hydrochaeris,74,2020/12/02 00:00,DNA Zoo,78808,71052467,SAMN15801460
GCF_006229205.1,Suricata suricatta (meerkat),Suricata suricatta,50,2019/07/03 00:00,DNA Zoo,75409,141453419,SAMN11840572
GCF_000003625.3,Oryctolagus cuniculus (rabbit),Oryctolagus cuniculus,0,2009/10/20 00:00,"The Genome Sequencing Platform, The Assembly Computation and Development Core Team",64648,35972871,SAMN02953624
GCA_015711505.1,Sylvilagus bachmani (brush rabbit),Sylvilagus bachmani,125,2020/12/02 00:00,DNA Zoo,58367,110456461,SAMN15801470
GCF_002837175.2,Physeter catodon (sperm whale),Physeter catodon,248,2019/03/08 00:00,BGI,42542,122182240,SAMN07836523
GCF_014633375.1,Ochotona princeps (American pika),Ochotona princeps,23.68,2020/09/21 00:00,University of British Columbia Okanagan,42119,75838078,SAMN15664588
GCF_900094665.1,Mus caroli (Ryukyu mouse),Mus caroli,60,2017/04/28 00:00,EBI,30917,122627250,SAMEA3367631
GCF_008632895.1,Mastomys coucha (southern multimammate mouse),Mastomys coucha,73,2019/09/24 00:00,"University of California, San Francisco",30483,118621203,SAMN07635206
GCF_900095145.1,Mus pahari (shrew mouse),Mus pahari,74,2017/04/28 00:00,EBI,29465,111406228,SAMEA3367645
GCF_000247795.1,Bos indicus (zebu cattle),Bos indicus,52,2014/11/25 00:00,Genoa Biotecnologia SA,28375,106310653,SAMN02953802
GCA_013496395.1,Giraffa tippelskirchi (even-toed ungulates),Giraffa tippelskirchi,88.4,2020/07/21 00:00,University of California Davis,25031,160341600,SAMN09604854
GCF_000317375.1,Microtus ochrogaster (prairie vole),Microtus ochrogaster,94,2012/12/07 00:00,Broad Institute,21250,17270019,SAMN00727831
GCA_000978405.1,Capra aegagrus (wild goat),Capra aegagrus,83.54,2015/04/24 00:00,BGI,19347,91317560,SAMN03282421
GCA_009760805.1,Lepus timidus (Mountain hare),Lepus timidus,77,2019/12/17 00:00,CIBIO,18458,116271063,SAMN12621015
GCA_001624865.1,Mus spretus (western wild mouse),Mus spretus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,17887,131945496,SAMN04489830
GCA_000772465.1,Nasalis larvatus (proboscis monkey),Nasalis larvatus,290,2014/11/10 00:00,Proboscis Monkey Functional Genome Consortium,13295,137426304,SAMN02689222
GCA_003704135.2,Peromyscus polionotus subgriseus (oldfield mouse),Peromyscus polionotus,290,2019/04/26 00:00,Harvard University / Howard Hughes Medical Institute,13217,117603569,SAMN10150432
GCA_002197005.1,Cervus elaphus hippelaphus (red deer),Cervus elaphus,74,2017/06/19 00:00,National Agricultural Research and Innovation Centre,7944,107358006,SAMN05196248
GCA_001887905.1,Lycaon pictus (African hunting dog),Lycaon pictus,5.7,2016/12/01 00:00,Smithsonian Institution,5555,63240551,SAMN04312208
GCF_002201575.1,Neomonachus schauinslandi (Hawaiian monk seal),Neomonachus schauinslandi,61,2017/06/20 00:00,Johns Hopkins University,112698,29518589,SAMN06841387
GCF_000164845.3,Vicugna pacos (alpaca),Vicugna pacos,260,2019/07/15 00:00,Deakin University,29536,24022313,SAMN01096418
GCA_014849445.1,Cercopithecus mona (Mona monkey),Cercopithecus mona,54,2020/10/05 00:00,"Kunming Institute of Zoology, Chinese Academy of Sciences",22791723,22791723,SAMN13555793
GCF_014108415.1,Molossus molossus (Pallas's mastiff bat),Molossus molossus,58.3,2020/08/07 00:00,Bat1K,22174888,110665204,SAMN14734448
GCF_014176215.1,Rousettus aegyptiacus (Egyptian rousette),Rousettus aegyptiacus,64.6,2020/08/07 00:00,Bat1K,21999313,113811795,SAMN14734550
GCF_009764315.1,Trachypithecus francoisi (Francois's langur),Trachypithecus francoisi,1,2019/12/18 00:00,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",16182741,130977661,SAMN12630612
GCF_014108235.1,Myotis myotis (bats),Myotis myotis,90.9,2020/08/07 00:00,Bat1K,12511134,94448911,SAMN14734277
GCF_002099425.1,Phascolarctos cinereus (koala),Phascolarctos cinereus,57.3,2017/04/18 00:00,The Earlham Institute,11587828,11587828,SAMN06198159
GCF_014108245.1,Pipistrellus kuhlii (Kuhl's pipistrelle),Pipistrellus kuhlii,80.8,2020/08/07 00:00,Bat1K,10591995,80237350,SAMN14734388
GCA_003508835.1,Eonycteris spelaea (lesser dawn bat),Eonycteris spelaea,80,2018/09/07 00:00,Duke-NUS Medical School,8002591,8002591,SAMN08225740
GCF_014898055.1,Talpa occidentalis (Iberian mole),Talpa occidentalis,50,2020/10/19 00:00,Max Planck Institute for Molecular Genetics,2611711,119794413,SAMN10160270
GCF_014824575.1,Sturnira hondurensis (bats),Sturnira hondurensis,158,2020/09/30 00:00,College of Life Sciences at Wuhan University,2136421,10164808,SAMN12282880
GCA_902825105.1,Syncerus caffer (African buffalo),Syncerus caffer,60,2020/04/02 00:00,UNIVERSITY OF EDINBURGH,2018310,69160875,SAMEA6520500
GCA_903231385.1,Ovis nivicola lydekkeri (snow sheep),Ovis nivicola,19,2020/06/16 00:00,LMU Munich,1765443,2011554,SAMEA6833340
GCA_014533835.1,Marmota monax (woodchuck),Marmota monax,147,2020/09/14 00:00,Johns Hopkins University,1094236,1094236,SAMN13176033
GCF_012393455.1,Halichoerus grypus (gray seal),Halichoerus grypus,39,2020/04/15 00:00,Cummings School of Veterinary Medicine at Tufts University,1011981,1033864,SAMN13022322
GCF_015252025.1,Chlorocebus sabaeus (green monkey),Chlorocebus sabaeus,75,2020/11/06 00:00,"Viral Vectors and Vaccines Bioprocessing Group, McGill University",839654,81790585,SAMN15458746
GCF_010015895.1,Lontra canadensis (Northern American river otter),Lontra canadensis,40,2020/01/27 00:00,Canada's Genomic Enterprise,691969,18460785,SAMN13049247
GCA_011316645.1,Cynomys gunnisoni (Gunnison's prairie dog),Cynomys gunnisoni,67,2020/03/16 00:00,Smithsonian Herndon Data Center,687762,824613,SAMN12831216
GCA_900642305.1,Arctocephalus gazella (antarctic fur seal),Arctocephalus gazella,15000,2019/02/08 00:00,LMU,537425,139181869,SAMEA4666125
GCA_011680675.1,Gymnobelideus leadbeateri (Leadbeater's possum),Gymnobelideus leadbeateri,100,2020/03/23 00:00,Deakin University,500778,502495,SAMN13475009
GCA_014363405.1,Pteropus pselaphon (Bonin flying fox),Pteropus pselaphon,119,2020/08/23 00:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",394964,770409,SAMD00237435
GCA_006410555.1,Capra ibex (Alpine ibex),Capra ibex,207,2019/06/24 00:00,Northwestern Polytechnical University,380983,61905114,SAMN08714504
GCA_003182615.2,Capra sibirica (Siberian ibex),Capra sibirica,217,2018/10/30 00:00,Northwest A&F University,376582,15190720,SAMN06233877
GCF_014825515.1,Artibeus jamaicensis (Jamaican fruit-eating bat),Artibeus jamaicensis,202,2020/09/30 00:00,College of Life Sciences at Wuhan University,374929,2589479,SAMN12273914
GCA_014754425.1,Oryx dammah (scimitar-horned oryx),Oryx dammah,120,2020/09/25 00:00,Smithsonian Conservation Biology Institute,373369,100398400,SAMN14518290
GCA_013239625.1,Lama guanicoe cacsilensis (guanaco),Lama guanicoe,129.1,2020/06/02 00:00,Shanxi Agricultural University,343812,14786206,SAMN08242136
GCA_013265495.1,Vicugna vicugna mensalis (vicugna),Vicugna vicugna,108.53,2020/06/02 00:00,Shanxi Agricultural University,340839,6158010,SAMN08274813
GCA_004027375.1,Macroglossus sobrinus (bats),Macroglossus sobrinus,52.7,2019/01/16 00:00,Broad Institute,338389,453401,SAMN07678028
GCF_006547405.1,Globicephala melas (long-finned pilot whale),Globicephala melas,36,2019/07/01 00:00,Canada's Genomic Enterprise,332801,18102937,SAMN11083132
GCF_003584765.1,Ursus arctos horribilis (brown bear),Ursus arctos,50,2018/09/20 00:00,Canada's Genomic Enterprise,314844,36708181,SAMN09907428
GCA_003009895.1,Hyaena hyaena (striped hyena),Hyaena hyaena,56,2018/03/19 00:00,Potsdam University,311202,2001327,SAMN07212965
GCA_004027145.1,Daubentonia madagascariensis (aye-aye),Daubentonia madagascariensis,76.4,2019/01/16 00:00,Broad Institute,298834,379919,SAMN07678077
GCF_004348235.1,Phoca vitulina (harbor seal),Phoca vitulina,45,2019/02/11 00:00,Canada's Genome Enterprise (CGEN),283887,41024070,SAMN10150265
GCF_001984765.1,Castor canadensis (American beaver),Castor canadensis,110,2017/02/04 00:00,Hospital for Sick Children,273954,317708,SAMN06187566
GCF_009828535.2,Hylobates moloch (silvery gibbon),Hylobates moloch,70,2020/02/13 00:00,"University of California, Santa Cruz",265822,125196221,SAMN12851060
