accession,submission_date,sequence_length,organism
DQ275350,27-SEP-2006,17277,Bufo gargarizans
NC_008410,03-OCT-2006,17277,Bufo gargarizans
MT561179,14-DEC-2020,17046,Quasipaa exilispinosa
NC_037378,24-APR-2018,18005,Melanophryniscus moreirae
NC_037380,24-APR-2018,17702,Phyllobates terribilis
NC_037379,24-APR-2018,16751,Hyloxalus subpunctatus
NC_037377,24-APR-2018,16881,Scaphiopus holbrookii
KY962393,27-MAR-2018,17702,Phyllobates terribilis
KY962392,27-MAR-2018,16751,Hyloxalus subpunctatus
KY962391,27-MAR-2018,18005,Melanophryniscus moreirae
KY962390,27-MAR-2018,16881,Scaphiopus holbrookii
NC_027274,18-JUN-2015,17989,Telmatobufo australis
KR349313,10-JUN-2015,17989,Telmatobufo australis
NC_026789,04-APR-2015,17837,Nanorana parkeri
KP317482,22-MAR-2015,17837,Nanorana parkeri
MN242821,21-NOV-2020,16411,Hynobius unisacculus
NC_050884,27-OCT-2020,18106,Odorrana graminea
MN417331,23-SEP-2020,18106,Odorrana graminea
MK512368,08-OCT-2019,16780,Karsenia koreana
KU255459,10-DEC-2017,17096,Tylototriton shanorum
KU255458,10-DEC-2017,16265,Tylototriton pseudoverrucosus
KY398015,23-JAN-2018,16266,Tylototriton ziegleri
KU297946,11-DEC-2017,16649,Tylototriton yangi
KU321581,31-OCT-2017,17407,Bufo gargarizans
NC_035805,13-SEP-2017,19934,Rana omeimontis
NC_035804,13-SEP-2017,18863,Rana kukunoris
NC_035803,13-SEP-2017,18591,Rana chaochiaoensis
KX094979,20-APR-2017,16331,Salamandra salamandra gallaica
KX686108,01-FEB-2017,17681,Lithobates catesbeianus
KX268733,14-DEC-2016,16565,Andrias davidianus
NC_031426,13-OCT-2016,17265,Scutiger ningshanensis
KX619450,04-OCT-2016,17265,Scutiger ningshanensis
JF730436,25-SEP-2011,18357,Pelophylax chosenicus
AY899242,15-JUN-2009,16867,Limnonectes bannaensis
AY458598,31-OCT-2004,16473,Polypedates megacephalus
AY158705,02-AUG-2003,17717,Fejervarya limnocharis
AF154053,28-APR-2001,16650,Lyciasalamandra atifi
KR154461,04-JUL-2015,16661,Tylototriton shanjing
EF196679,29-MAR-2007,17822,Pelophylax plancyi
KT285802,15-JUN-2016,16720,Microhyla butleri
KP979646,22-JUN-2015,16265,Tylototriton taliangensis
NC_030054,04-MAY-2016,17572,Anomaloglossus baeobatrachus
KU958559,21-APR-2016,17572,Anomaloglossus baeobatrachus
KT878718,02-FEB-2016,17567,Pelophylax nigromaculatus
NC_027507,14-JUL-2015,16265,Tylototriton wenxianensis
NC_027505,14-JUL-2015,16661,Tylototriton shanjing
KR733683,05-JUL-2015,16265,Tylototriton wenxianensis
NC_027421,24-JUN-2015,16265,Tylototriton taliangensis
NC_023381,23-JAN-2014,22595,Hyperolius marmoratus
NC_020610,25-MAR-2013,17747,Leptobrachella oshanensis
KC460337,10-MAR-2013,17747,Leptobrachella oshanensis
NC_018785,12-OCT-2012,17631,Megophrys shapingensis
JX458090,15-SEP-2012,17631,Megophrys shapingensis
NC_002756,28-APR-2001,16650,Lyciasalamandra atifi
NC_016059,13-OCT-2011,18357,Pelophylax chosenicus
NC_005055,05-AUG-2003,17717,Fejervarya limnocharis
NC_004926,07-JUL-2003,16503,Andrias davidianus
NC_009264,30-MAR-2007,17822,Pelophylax plancyi
NC_004021,08-JUN-2002,16418,Ranodon sibiricus
AJ419960,08-JUN-2002,16418,Ranodon sibiricus
MT773151,21-DEC-2020,18481,Oreolalax schmidti
MW009067,15-DEC-2020,17370,Rana uenoi
MN248533,12-OCT-2020,18711,Sylvirana guentheri
MT561180,12-OCT-2020,15664,Hyla sanchiangensis
MN241431,17-MAY-2020,17291,Hylarana latouchii
MH087467,12-FEB-2020,18800,Dryophytes versicolor
MN427892,11-FEB-2020,19604,Zhangixalus omeimontis
MH972198,07-JUL-2019,17668,Glandirana emeljanovi
MH643882,20-MAY-2019,16557,Leptobrachium boringii
NC_049862,24-JUL-2020,17675,Oreolalax omeimontis
MN803321,18-JUL-2020,17675,Oreolalax omeimontis
MN733918,20-JUN-2020,16644,Rana kukunoris
NC_046387,26-MAR-2020,19604,Zhangixalus omeimontis
NC_046047,07-MAR-2020,17189,Bufotes pseudoraddei
NC_045857,24-FEB-2020,16394,Batrachuperus sp. 2 PZ-2020
NC_045917,24-FEB-2020,18800,Dryophytes versicolor
MN937258,05-FEB-2020,16394,Batrachuperus sp. 2 PZ-2020
MK867845,08-FEB-2020,17189,Bufotes pseudoraddei
KY441640,30-DEC-2019,18520,Quasipaa boulengeri
KM271781,01-OCT-2014,17973,Hyla annectans
NC_044480,06-SEP-2019,24317,Pyxicephalus adspersus
MF461428,08-SEP-2019,16660,Tylototriton verrucosus
NC_042797,25-JUN-2019,19904,Polypedates braueri
MF037878,28-MAY-2019,16465,Cynops cyanurus cyanurus
NC_042258,12-MAY-2019,20282,Hoplobatrachus chinensis x Hoplobatrachus rugulosus
NC_042226,12-MAY-2019,16061,Rana temporaria
MK687567,07-MAY-2019,19904,Polypedates braueri
NC_041426,10-APR-2019,15564,Pseudis tocantins
MH087466,30-APR-2019,17650,Fejervarya kawamurai
MH536744,20-APR-2019,16061,Rana temporaria
KY885249,11-APR-2019,17348,Eurycea cirrigera
MG770308,10-APR-2019,20282,Hoplobatrachus chinensis x Hoplobatrachus rugulosus
MH571152,26-FEB-2019,15564,Pseudis tocantins
MH893761,17-FEB-2019,17378,Bombina bombina
KY418068,31-DEC-2018,16465,Cynops cyanurus chuxiongensis
KU131061,30-DEC-2018,16566,Andrias davidianus
KU131060,30-DEC-2018,16567,Andrias davidianus
KU131059,30-DEC-2018,16564,Andrias davidianus
KU131058,30-DEC-2018,16568,Andrias davidianus
