#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Latimeria chalumnae","Eukaryota;Animals;Fishes","SAIAB 97564","SAMN00138723","PRJNA56111","GCA_000225785.1","Scaffold",2860.59,43,"mitochondrion MT:NC_001804.1/","AFYH01",22819,34251,"2011-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/785/GCA_000225785.1_LatCha1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/785/GCF_000225785.1_LatCha1"
"Anguilla marmorata","Eukaryota;Animals;Fishes","","SAMEA5568835","PRJEB32187","GCA_901111315.1","Scaffold",882.007,43.3,,"CAAKNA01",38756,0,"2020-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/315/GCA_901111315.1_Anguilla_marmorata_assembly",
"Anguilla megastoma","Eukaryota;Animals;Fishes","","SAMEA5568836","PRJEB32187","GCA_901111305.1","Scaffold",877.766,43.2,,"CAAKMX01",40052,0,"2020-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/305/GCA_901111305.1_Anguilla_megastoma_assembly",
"Anguilla obscura","Eukaryota;Animals;Fishes","","SAMEA5568837","PRJEB32187","GCA_901111295.1","Scaffold",882.39,43.4,,"CAAKMZ01",43284,0,"2020-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/295/GCA_901111295.1_Anguilla_obscura_assembly",
"Gymnarchus niloticus","Eukaryota;Animals;Fishes","SDUMVBZ3V8","SAMN08214438","PRJNA423259","GCA_009936485.1","Scaffold",653.962,43.3,,"JAACJT01",54167,0,"2020-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/485/GCA_009936485.1_ASM993648v1",
"Arapaima gigas","Eukaryota;Animals;Fishes","","SAMEA104324749","PRJEB22808","GCA_900497675.1","Scaffold",661.279,0,,"UFQX01",5301,0,"2018-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/497/675/GCA_900497675.1_Agigas_genome_assembly_all_mixed_samples",
"Anguilla japonica","Eukaryota;Animals;Fishes","","SAMD00098195","PRJDB6433","GCA_003597225.1","Scaffold",966.917,0,,"BEWY01",83292,0,"2018-09-14T22:12:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/225/GCA_003597225.1_Ajp_01",
"Anguilla rostrata","Eukaryota;Animals;Fishes","LakeOntario-01-2011","SAMN03737505","PRJNA285069","GCA_001606085.1","Scaffold",1413.03,41,"mitochondrion MT:CM003870.1","LTYT01",79209,0,"2016-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/085/GCA_001606085.1_ASM160608v1",
"Acipenser oxyrinchus oxyrinchus","Eukaryota;Animals;Fishes","","SAMN14251471","PRJNA564091","GCA_013184475.1","Contig",991.502,38.3,,"JABEPO01",1317395,0,"2020-05-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/184/475/GCA_013184475.1_ASM1318447v1",
"Brevimyrus niger","Eukaryota;Animals;Fishes","CUMV 94596","SAMN11109190","PRJNA526749","GCA_015164015.1","Scaffold",749.215,44.3,,"JAABNY01",64445,0,"2020-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/164/015/GCA_015164015.1_ASM1516401v1",
"Osmerus eperlanus","Eukaryota;Animals;Fishes","","SAMEA4028764","PRJEB12469","GCA_900302275.1","Scaffold",342.759,0,,"OMKJ01",73274,0,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/302/275/GCA_900302275.1_ASM90030227v1",
"Guentherus altivela","Eukaryota;Animals;Fishes","","SAMEA4028767","PRJEB12469","GCA_900312595.1","Scaffold",539.599,42.2,,"OMOX01",189411,0,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/312/595/GCA_900312595.1_ASM90031259v1",
"Mormyrus iriodes","Eukaryota;Animals;Fishes","AMNH 263510","SAMN11649522","PRJNA542943","GCA_011763525.1","Scaffold",756.95,43.6,,"JAAGVU01",87778,0,"2020-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/763/525/GCA_011763525.1_ASM1176352v1",
"Mormyrus lacerda","Eukaryota;Animals;Fishes","K0N9B8NC6I","SAMN11976054","PRJNA547786","GCA_015163995.1","Scaffold",796.858,43.9,,"JAABNX01",82859,0,"2020-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/163/995/GCA_015163995.1_ASM1516399v1",
"Acipenser ruthenus","Eukaryota;Animals;Fishes","","SAMEA5572864","PRJEB35913","GCA_902713435.1","Scaffold",1663.9,39.6,,"CACTIF01",225,0,"2020-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/713/435/GCA_902713435.1_fAciRut3.1_paternal_haplotype","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/435/GCF_902713435.1_fAciRut3.1_paternal_haplotype"
"Anguilla japonica","Eukaryota;Animals;Fishes","CB-2019","SAMN11472315","PRJNA533944","GCA_006352315.1","Scaffold",1181.13,36.4,,"VDMF01",50457,0,"2019-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/352/315/GCA_006352315.1_ASM635231v1",
