AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCF_000002035.6,Danio rerio (zebrafish),Danio rerio,0,2017/05/09 00:00,Genome Reference Consortium,1422317,7379053,SAMN06930106
GCF_002234675.1,Oryzias latipes (Japanese medaka),Oryzias latipes,0.99,2017/07/27 00:00,The University of Tokyo,2530934,31218526,SAMN06689957
GCA_902810595.1,Coregonus sp. 'balchen' (bony fishes),Coregonus sp. 'balchen',90,2020/03/10 00:00,EAWAG,533126,52020451,SAMEA5807383
GCA_004023545.1,Lateolabrax maculatus (spotted sea bass),Lateolabrax maculatus,302,2019/01/15 00:00,BGI,42653,22343975,SAMN07680090
GCA_016271365.1,Neoceratodus forsteri (Australian lungfish),Neoceratodus forsteri,30,2020/12/22 00:00,University of Konstanz,1402697193,1485207024,SAMN15471169
GCF_013368585.1,Megalops cyprinoides (Indo-Pacific tarpon),Megalops cyprinoides,104.34,2020/06/23 00:00,Vertebrate Genomes Project,26850664,38251172,SAMN12623619
GCF_902362185.1,Chanos chanos (milkfish),Chanos chanos,68,2019/08/14 00:00,SC,23134051,50300218,SAMEA5159473
GCA_902685375.1,Neostethus bicornis (bony fishes),Neostethus bicornis,119,2019/11/26 00:00,SC,23089617,29119677,SAMEA104240207
GCF_011004845.1,Esox lucius (northern pike),Esox lucius,1,2020/03/05 00:00,Vertebrate Genomes Project,22630263,37473588,SAMN12623624
GCA_009823395.1,Thamnaconus septentrionalis (bony fishes),Thamnaconus septentrionalis,104,2020/01/02 00:00,Yellow Sea Fisheries Research Institute,22457894,23049015,SAMN12753623
GCF_013347765.1,Scophthalmus maximus (turbot),Scophthalmus maximus,30,2020/06/18 00:00,CIGENE,20466349,25949660,SAMN14896287
GCA_013133815.1,Cromileptes altivelis (humpback grouper),Cromileptes altivelis,114.26,2020/05/20 00:00,Sun Yat-sen University,18269829,43466551,SAMN14537433
GCF_013339905.1,Hippoglossus stenolepis (Pacific halibut),Hippoglossus stenolepis,91,2020/06/16 00:00,International Pacific Halibut Commission,17826919,24985257,SAMN14503176
GCA_014839685.1,Anableps anableps (largescale foureyes),Anableps anableps,58.8,2020/09/30 00:00,Vertebrate Genomes Project,17460000,39321252,SAMN12623628
