#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Platysternon megacephalum","Eukaryota;Animals;Reptiles","DO16091913","SAMN09536731","PRJNA479402","GCA_003942145.1","Scaffold",2319.09,43.7,,"QXTE01",359693,0,"2018-12-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/942/145/GCA_003942145.1_ASM394214v1",
"Chelydra serpentina","Eukaryota;Animals;Reptiles","","SAMN10724079","PRJNA512119","GCA_007922165.1","Scaffold",2401.36,44.2,,"VOCR01",113431,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/165/GCA_007922165.1_Chelydra_serpentina-1.0",
"Carettochelys insculpta","Eukaryota;Animals;Reptiles","","SAMN10723924","PRJNA512133","GCA_007922185.1","Scaffold",2356.57,45.3,,"VOCQ01",48450,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/185/GCA_007922185.1_Carettochelys_insculpta-1.0",
"Cuora amboinensis","Eukaryota;Animals;Reptiles","","SAMN10722981","PRJNA511034","GCA_004028625.2","Scaffold",2214.83,43.9,,"SCPV02",89628,0,"2019-01-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/028/625/GCA_004028625.2_ASM402862v2",
"Pelodiscus sinensis","Eukaryota;Animals;Reptiles","Daiwa-1","SAMN02981371","PRJNA221645","GCA_000230535.1","Scaffold",2202.48,44.4999,"mitochondrion MT:NC_006132.1/","AGCU01",19904,38587,"2012-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/535/GCA_000230535.1_PelSin_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/535/GCF_000230535.1_PelSin_1.0"
"Podocnemis expansa","Eukaryota;Animals;Reptiles","","SAMN10723688","PRJNA512135","GCA_007922195.1","Scaffold",2447.09,43.6,,"VOCP01",43498,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/195/GCA_007922195.1_Podocnemis_expansa-1.0",
"Apalone spinifera","Eukaryota;Animals;Reptiles","","SAMN03004388","PRJNA177958","GCA_000385615.1","Scaffold",1931.08,42.8,,"APJP01",286620,0,"2013-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/615/GCA_000385615.1_ASM38561v1",
"Emydura subglobosa","Eukaryota;Animals;Reptiles","","SAMN10723686","PRJNA512130","GCA_007922225.1","Scaffold",1986.7,42.9,,"VOCO01",43399,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/225/GCA_007922225.1_Emydura_subglobosa-1.0",
"Pelusios castaneus","Eukaryota;Animals;Reptiles","","SAMN10724078","PRJNA512121","GCA_007922175.1","Scaffold",2044.28,43.1,,"VOCT01",69036,0,"2019-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/175/GCA_007922175.1_Pelusios_castaneus-1.0",
"Malaclemys terrapin terrapin","Eukaryota;Animals;Reptiles","","SAMN05591378","PRJNA339452","GCA_001728815.2","Contig",2439.75,44.5,"mitochondrion MT:KX774423.1","MDXI01",21684,13,"2016-09-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/728/815/GCA_001728815.2_terp_v2_2",
"Gopherus agassizii","Eukaryota;Animals;Reptiles","","SAMN05991319","PRJNA352726","GCA_002896415.1","Scaffold",2184.97,43,,"PPEB01",172559,0,"2018-01-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/896/415/GCA_002896415.1_ASM289641v1",
"Chelonoidis abingdonii","Eukaryota;Animals;Reptiles","Lonesome George","SAMN07840320","PRJNA611832","GCA_003597395.1","Scaffold",2300.74,44.1,,"PKMU01",10618,44358,"2018-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/395/GCA_003597395.1_ASM359739v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/395/GCF_003597395.1_ASM359739v1"
"Cuora mccordi","Eukaryota;Animals;Reptiles","ISIS_951048","SAMN10392581","PRJNA491715","GCA_003846335.1","Scaffold",2390.37,44.6,,"RQSS01",100020,0,"2018-11-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/846/335/GCA_003846335.1_ASM384633v1",
"Mesoclemmys tuberculata","Eukaryota;Animals;Reptiles","","SAMN10734026","PRJNA512125","GCA_007922155.1","Scaffold",2027.51,43.1,,"VOCS01",53667,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/155/GCA_007922155.1_Mesoclemmys_tuberculata-1.0",
"Dermatemys mawii","Eukaryota;Animals;Reptiles","","SAMN10723923","PRJNA512129","GCA_007922305.1","Scaffold",1866.98,43,,"VOCN01",40852,0,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/305/GCA_007922305.1_Dermatemys_mawii-1.0",
"Actinemys marmorata","Eukaryota;Animals;Reptiles","","SAMN10724089","PRJNA512124","GCA_009430475.1","Scaffold",2388.73,44.5,,"VOGN01",80763,0,"2019-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/430/475/GCA_009430475.1_Amar_v1",
"Gopherus evgoodei","Eukaryota;Animals;Reptiles","","SAMN03496275","PRJNA489104","GCA_007399395.1","Contig",1961.13,44.3,,"VHHO01",8736,0,"2019-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/399/395/GCA_007399395.1_rGopEvg1_v1.alt",
"Dermochelys coriacea","Eukaryota;Animals;Reptiles","rDerCor1","SAMN12629498","PRJNA561994","GCA_009762595.2","Scaffold",1444.79,43.5,,"WSPM02",8999,0,"2019-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/762/595/GCA_009762595.2_rDerCor1.alt.v2",
"Chelonia mydas","Eukaryota;Animals;Reptiles","rCheMyd1","SAMN12612360","PRJNA561942","GCA_015220195.1","Scaffold",1896.14,44.1,,"JADCQN01",6737,0,"2020-11-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/220/195/GCA_015220195.1_rCheMyd1.alt",
"Chrysemys picta","Eukaryota;Animals;Reptiles","","SAMN13293682","PRJNA589899","GCA_011386835.1","Scaffold",2335.7,44.2,,"JAAOEE01",132827,0,"2020-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/386/835/GCA_011386835.1_ASM1138683v1",
"Chelonia mydas","Eukaryota;Animals;Reptiles","","SAMN02981410","PRJNA234097","GCA_000344595.1","Scaffold",2208.41,43.7,,"AJIM01",140023,28659,"2013-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/595/GCA_000344595.1_CheMyd_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/595/GCF_000344595.1_CheMyd_1.0"
"Dermochelys coriacea","Eukaryota;Animals;Reptiles","2018-Dc-14","SAMN11567340","PRJNA528992","GCA_006547105.1","Scaffold",2154.17,43.2,,"VCRE01",56317,0,"2019-07-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/547/105/GCA_006547105.1_GSC_toitle_1.0",
