#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Callorhinchus milii","Eukaryota;Animals;Fishes","IMCB2004","SAMN00000800","PRJNA18361","GCA_000165045.2","Scaffold",974.499,42.5998,"mitochondrion MT:NC_014285.1/","AAVX02",21204,28237,"2007-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/045/GCA_000165045.2_Callorhinchus_milii-6.1.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/045/GCF_000165045.1_Callorhinchus_milii-6.1.3"
"Leucoraja erinacea","Eukaryota;Animals;Fishes","","SAMN00189066","PRJNA60893","GCA_000238235.1","Contig",1555.46,40.3,"mitochondrion:JQ034406.1","AESE01",2962366,13,"2011-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/235/GCA_000238235.1_LER_WGS_1",
"Chiloscyllium punctatum","Eukaryota;Animals;Fishes","","SAMD00098917","PRJDB6260","GCA_003427335.1","Scaffold",3375.7,37.6,,"BEZZ01",280241,0,"2018-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/427/335/GCA_003427335.1_Cpunctatum_v1.0",
"Scyliorhinus torazame","Eukaryota;Animals;Fishes","","SAMD00098918","PRJDB6260","GCA_003427355.1","Scaffold",4470.98,38.5,,"BFAA01",458049,0,"2018-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/427/355/GCA_003427355.1_Storazame_v1.0",
"Carcharodon carcharias","Eukaryota;Animals;Fishes","C_car_delaware_2007","SAMN04526268","PRJEB20083","GCA_902204185.2","Contig",0.00067,50,,"CABITS01",2,0,"2019-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/204/185/GCA_902204185.2_broker_test2",
"Rhincodon typus","Eukaryota;Animals;Fishes","Ralph","SAMN04562461","PRJNA378405","GCA_001642345.2","Scaffold",2931.6,41.8,"mitochondrion MT:NC_023455.1/","LVEK02",57334,27896,"2016-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/642/345/GCA_001642345.2_ASM164234v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/345/GCF_001642345.1_ASM164234v2"
"Hydrolagus affinis","Eukaryota;Animals;Fishes","CHA-2020","SAMN14087618","PRJNA606208","GCA_012026655.1","Scaffold",1114.27,42.3,,"JAAILG01",245464,0,"2020-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/026/655/GCA_012026655.1_UP_Haf",
"Pristis pectinata","Eukaryota;Animals;Fishes","sPriPec2","SAMN12629505","PRJNA562010","GCA_009764485.1","Contig",1694.17,42.7,,"WOXV01",10892,0,"2019-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/485/GCA_009764485.1_sPriPec2.alt",
"Rhincodon typus","Eukaryota;Animals;Fishes","KOGIC-WS-01","SAMN09428498","PRJNA476219","GCA_013626285.1","Scaffold",2820.59,41.1,,"QPMN01",136451,0,"2020-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/626/285/GCA_013626285.1_RhiTyp_1.0",
"Carcharodon carcharias","Eukaryota;Animals;Fishes","C_car_delaware_2007","SAMN01915239","PRJNA269969","GCA_003604245.1","Scaffold",3915.28,40.6,,"QUOW01",9222,0,"2018-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/604/245/GCA_003604245.1_ASM360424v1",
