#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Eudromia elegans","Eukaryota;Animals;Birds","B10K-LSUMZ-16893","SAMN12253968","PRJNA545868","GCA_013398775.1","Scaffold",958.92,41.2,,"VZSX01",2568,13651,"2020-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/398/775/GCA_013398775.1_ASM1339877v1",
"Apteryx haastii","Eukaryota;Animals;Birds","R29945","SAMN08476452","PRJNA433110","GCA_003342985.1","Scaffold",1221.44,40.8,,"PTFD01",4183,0,"2018-07-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/985/GCA_003342985.1_aptHaa1",
"Pterocnemia pennata","Eukaryota;Animals;Birds","206185","SAMN08476461","PRJNA433110","GCA_003342835.1","Scaffold",1168.29,40.3,,"PTJI01",3019,0,"2018-07-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/835/GCA_003342835.1_rhePen1",
"Arenaria interpres","Eukaryota;Animals;Birds","B10K-DU-005-73","SAMN12253884","PRJNA545868","GCA_013399435.1","Scaffold",1124.62,41.8,,"VXAK01",46803,13872,"2020-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/399/435/GCA_013399435.1_ASM1339943v1",
"Struthio camelus australis","Eukaryota;Animals;Birds","BGI_N308","SAMN02316164","PRJNA263340","GCA_000698965.1","Scaffold",1225.04,41.3,"mitochondrion MT:NC_002785.1/","JJRT01",6915,25438,"2014-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/965/GCA_000698965.1_ASM69896v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/965/GCF_000698965.1_ASM69896v1"
"Dromaius novaehollandiae","Eukaryota;Animals;Birds","6597","SAMN08476457","PRJNA484763","GCA_003342905.1","Scaffold",1192.25,41.7,"mitochondrion MT:NC_002784.1/","PTEY01",2778,31311,"2018-07-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/905/GCA_003342905.1_droNov1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/342/905/GCF_003342905.1_droNov1"
"Anomalopteryx didiformis","Eukaryota;Animals;Birds","TW95","SAMN08482543","PRJNA433423","GCA_006937325.1","Scaffold",1190.76,32,,"SZQC01",1909,0,"2019-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/937/325/GCA_006937325.1_anoDid_nucDNA_orig",
"Casuarius casuarius","Eukaryota;Animals;Birds","B10K-LSUMZ-50683","SAMN12253744","PRJNA545868","GCA_013396415.1","Scaffold",1204.59,40.6,,"VWPT01",3215,13737,"2020-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/415/GCA_013396415.1_ASM1339641v1",
"Ciconia boyciana","Eukaryota;Animals;Birds","2881A","SAMD00050841","PRJDB4709","GCA_002002965.1","Scaffold",1364.95,42.1,,"BDFF01",505419,0,"2016-07-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/002/965/GCA_002002965.1_Ciconia_boyciana_ver1.0",
"Vidua chalybeata","Eukaryota;Animals;Birds","OUT-0048","SAMN12254000","PRJNA545868","GCA_013398495.1","Scaffold",1073.58,41.8,,"WBNB01",3351,14634,"2020-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/398/495/GCA_013398495.1_ASM1339849v1",
