accession,submission_date,sequence_length,organism
CM021416,21-FEB-2020,16785,Amblyraja radiata
CM019964,19-DEC-2019,16803,Pristis pectinata
NC_021615,29-JUN-2013,16720,Heterodontus zebra
KC845548,18-JUN-2013,16720,Heterodontus zebra
NC_035491,24-AUG-2017,16719,Sphyrna mokarran
KY464952,17-JUL-2017,16719,Sphyrna mokarran
NC_035057,13-JUN-2017,16689,Squatina squatina
KY464954,29-MAY-2017,16689,Squatina squatina
KJ913073,06-JUL-2014,16909,Dipturus chilensis
NC_024102,14-MAY-2014,17874,Gymnura poecilura
KJ617038,07-MAY-2014,17874,Gymnura poecilura
MF983539,28-MAR-2018,16729,Sphyrna zygaena
MF983538,28-MAR-2018,16729,Sphyrna zygaena
NC_022415,24-SEP-2013,16744,Carcharodon carcharias
NC_033911,27-FEB-2017,16697,Lamna nasus
KX610464,01-FEB-2017,16697,Lamna nasus
EU528659,29-DEC-2008,17743,Mitsukurina owstoni
AY525783,15-JUN-2005,16972,Okamejei kenojei
KM453976,18-NOV-2015,16723,Sphyrna tiburo
NC_022691,03-NOV-2013,16701,Isurus oxyrinchus
KM597489,17-JAN-2015,16688,Pseudocarcharias kamoharai
NC_021443,10-JUN-2013,16719,Alopias superciliosus
NC_021442,10-JUN-2013,16694,Megachasma pelagios
KC914387,19-SEP-2013,16744,Carcharodon carcharias
KC757415,14-MAY-2013,16719,Alopias superciliosus
KC702506,13-MAY-2013,16694,Megachasma pelagios
NC_024276,11-JUN-2014,16689,Squatina japonica
NC_024269,11-JUN-2014,16699,Lamna ditropis
NC_024101,14-MAY-2014,16704,Isurus paucus
KJ619663,04-JUN-2014,16689,Squatina japonica
KF962053,30-MAY-2014,16699,Lamna ditropis
KJ616742,07-MAY-2014,16704,Isurus paucus
NC_023520,28-FEB-2014,16773,Carcharias taurus
KF569943,05-FEB-2014,16773,Carcharias taurus
NC_023266,02-JAN-2014,16670,Cetorhinus maximus
KF597303,01-JAN-2014,16670,Cetorhinus maximus
KF361861,28-SEP-2013,16701,Isurus oxyrinchus
NC_020352,25-FEB-2013,17668,Hemitrygon bennettii
KC196067,06-FEB-2013,17668,Hemitrygon bennettii
NC_007173,06-JUL-2005,16972,Okamejei kenojei
NC_011825,05-JAN-2009,17743,Mitsukurina owstoni
MW029477,04-NOV-2020,19435,Hydrolagus mirabilis
MT880605,24-OCT-2020,18839,Chimaera sp. JHL-2020
MT663280,29-JUL-2020,16705,Carcharhinus amblyrhynchos
NC_048964,28-JUN-2020,16698,Bathyraja eatonii
NC_048468,01-JUN-2020,16692,Squatina dumeril
MN820820,19-MAR-2020,16911,Dipturus batis
MT447072,09-JUN-2020,16698,Bathyraja eatonii
NC_021768,18-JUL-2013,16701,Glyphis glyphis
KF006312,17-JUL-2013,16701,Glyphis glyphis
NC_047239,26-APR-2020,16706,Carcharhinus albimarginatus
NC_047238,26-APR-2020,16705,Carcharhinus amblyrhynchos
NC_047231,26-APR-2020,17003,Hydrolagus affinis
NC_046684,10-APR-2020,16911,Dipturus batis
MF993540,05-MAY-2020,16692,Squatina dumeril
MT090368,31-MAR-2020,17003,Hydrolagus affinis
MT093206,31-MAR-2020,16706,Carcharhinus albimarginatus
MT093205,31-MAR-2020,16705,Carcharhinus amblyrhynchos
NC_046016,07-MAR-2020,16693,Rhizoprionodon acutus
KP091437,14-JAN-2015,17685,Maculabatis gerrardi
MN602076,03-FEB-2020,16693,Rhizoprionodon acutus
MN783017,23-DEC-2019,16547,Glaucostegus granulatus
NC_044745,21-SEP-2019,16728,Hemiscyllium ocellatum
