AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCF_902459505.1,Geotrypetes seraphini (caecilians),Geotrypetes seraphini,67,2019/08/18 00:00,SC,20656571,272612222,SAMEA104387963
GCF_000004195.4,Xenopus tropicalis (tropical clawed frog),Xenopus tropicalis,111.5,2019/11/14 00:00,"University of California, Berkeley",14634335,153961319,SAMN13041969
GCF_901765095.1,Microcaecilia unicolor (caecilians),Microcaecilia unicolor,53,2019/06/22 00:00,SC,3661507,376147139,SAMEA104387962
GCF_901001135.1,Rhinatrema bivittatum (two-lined caecilian),Rhinatrema bivittatum,43,2019/06/02 00:00,SC,3216284,486875112,SAMEA104387956
GCA_009667805.1,Leptobrachium leishanense (Leishan spiny toad),Leptobrachium leishanense,80.3,2019/11/19 00:00,Central China Normal University,1946319,394693044,SAMN10412277
GCA_014858855.1,Bufo gargarizans (Asiatic toad),Bufo gargarizans,103,2020/10/07 00:00,"Chengdu Institute of Biology, CAS",1738317,539822115,SAMN14734018
GCA_002915635.2,Ambystoma mexicanum (axolotl),Ambystoma mexicanum,30,2018/12/04 00:00,Max Planck Society/University of Kentucky,216366,1412624359,SAMN06554622
GCA_004786255.1,Pyxicephalus adspersus (frogs & toads),Pyxicephalus adspersus,189,2019/04/17 00:00,University of Connecticut,30445,157522388,SAMN08767028
GCF_001663975.1,Xenopus laevis (African clawed frog),Xenopus laevis,30,2016/08/09 00:00,International Xenopus Sequencing Consortium,19713,136570856,SAMN04518361
GCA_900303285.1,Rhinella marina (marine toad),Rhinella marina,141,2018/03/26 00:00,UNIVERSITY OF NEW SOUTH WALES,167498,167498,SAMEA104558286
GCF_000935625.1,Nanorana parkeri (frogs & toads),Nanorana parkeri,83,2015/03/17 00:00,BGI-Shenzhen,32798,1069101,SAMN02720813
GCA_009364415.1,Spea multiplicata (Mexican spadefoot toad),Spea multiplicata,21,2019/10/28 00:00,University of Southern California,30692,71513,SAMN10605271
GCA_011038615.1,Limnodynastes dumerilii (frogs & toads),Limnodynastes dumerilii,156,2020/02/28 00:00,"Kunming Institute of Zoology, Chinese Academy of Sciences",10550,286041,SAMN13677064
GCA_009801035.1,Oophaga pumilio (strawberry poison frog),Oophaga pumilio,136,2019/12/27 00:00,"University of California, Berkeley",5836,77984,SAMN09702071
GCA_002284835.2,Lithobates catesbeianus (American bullfrog),Lithobates catesbeianus,66,2017/09/01 00:00,BC Cancer Agency,5415,39368,SAMN03760860
GCA_009802015.1,Rana temporaria (common frog),Rana temporaria,69,2019/12/27 00:00,"University of California, Berkeley",2889,49315,SAMN12123141
GCA_009364475.1,Spea bombifrons (plains spadefoot toad),Spea bombifrons,159,2019/10/28 00:00,University of Southern California,522,522,SAMN11282360
GCA_009364455.1,Scaphiopus holbrookii (eastern spadefoot toad),Scaphiopus holbrookii,39,2019/10/28 00:00,University of Southern California,514,514,SAMN11282362
GCA_009364435.1,Scaphiopus couchii (Couch's spadefoot toad),Scaphiopus couchii,25,2019/10/28 00:00,University of Southern California,362,362,SAMN11282385
GCA_013368275.1,Xenopus tropicalis (tropical clawed frog),Xenopus tropicalis,30,2020/06/23 00:00,Southern University of Science and Technology,377941,150157909,SAMN14253885
GCA_902459495.1,Geotrypetes seraphini (caecilians),Geotrypetes seraphini,67,2019/08/18 00:00,SC,564027,564027,SAMEA104387963
GCA_901001175.1,Rhinatrema bivittatum (two-lined caecilian),Rhinatrema bivittatum,43,2019/06/02 00:00,SC,259119,259119,SAMEA104387956
GCA_901765105.1,Microcaecilia unicolor (caecilians),Microcaecilia unicolor,53,2019/07/08 00:00,SC,245207,245207,SAMEA104387962
GCA_001455525.1,Ambystoma mexicanum (axolotl),Ambystoma mexicanum,28,2015/11/25 00:00,University of Kentucky,246,802,SAMN03256323
