Assembly,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
GCF_000238935.1,Melopsittacus undulatus (budgerigar),Melopsittacus undulatus,23,1/2/12 0:00,"The Genome Institute, Washington University at St. Louis",55633,10614383,SAMN02981360,GCA_000238935.1,GCF_000238935.1,454; Illumina,no
GCF_000277835.1,Geospiza fortis (medium ground-finch),Geospiza fortis,115,7/25/12 0:00,Beijing Genomics Institute,30521,5255844,SAMN00839579,GCA_000277835.1,GCF_000277835.1,Illumina HiSeq 2000,no
GCF_000331425.1,Pseudopodoces humilis (Tibetan ground-tit),Pseudopodoces humilis,96.25,1/11/13 0:00,Beijing Genomics Institute (BGI)-Shenzhen,165265,16337386,SAMN02981490,GCA_000331425.1,GCF_000331425.1,Illumina HiSeq,no
GCF_000337975.1,Falco cherrug (Saker falcon),Falco cherrug,147,2/5/13 0:00,BGI,31327,4154532,SAMN02981426,GCA_000337975.1,GCF_000337975.1,Illumina HiSeq,no
GCF_000337955.1,Falco peregrinus (peregrine falcon),Falco peregrinus,137.6,2/5/13 0:00,BGI,28645,3935757,SAMN02981425,GCA_000337955.1,GCF_000337955.1,Illumina HiSeq,no
GCF_000151805.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,5.5,2/8/13 0:00,Washington University Genome Sequencing Center,38644,8236790,SAMN02981239,GCA_000151805.2,GCF_000151805.1,Sanger,no
GCF_000355885.1,Anas platyrhynchos (mallard),Anas platyrhynchos,60,4/26/13 0:00,"State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing",26114,1233631,SAMN00011637,GCA_000355885.1,GCF_000355885.1,Solexa,no
GCF_000385455.1,Zonotrichia albicollis (white-throated sparrow),Zonotrichia albicollis,63,4/30/13 0:00,White-throated sparrow consortium,112748,4866725,SAMN02981528,GCA_000385455.1,GCF_000385455.1,Illumina,no
GCA_000400545.1,Ara macao (Scarlet macaw),Ara macao,16,5/20/13 0:00,Texas A&M University,6366,6366,SAMN02981465,GCA_000400545.1,NA,454; Illumina GAIIx; Illumina HiSeq2000,no
GCA_000400695.1,Ara macao (Scarlet macaw),Ara macao,26,6/26/13 0:00,Texas A&M University,4399,15974,SAMN03000706,GCA_000400695.1,NA,454 GS FLX Titanium; Illumina GAIIx; Illumina HiSeq 2000,no
GCF_000247815.1,Ficedula albicollis (Collared flycatcher),Ficedula albicollis,60,6/27/13 0:00,Uppsala University,410964,6542656,SAMN02981387,GCA_000247815.2,GCF_000247815.1,Illumina GAII; Illumina HiSeq,no
