accession,submission_date,sequence_length,organism
CM020865,14-JAN-2020,16856,Taeniopygia guttata
CM018102,10-OCT-2019,19110,Alca torda
CM022664,13-APR-2020,18200,Melopsittacus undulatus
CM018229,03-OCT-2019,16856,Taeniopygia guttata
NC_002069,24-AUG-1999,16931,Corvus frugilegus
CM026040,02-OCT-2020,16842,Picoides pubescens
CM023771,23-JUN-2020,21413,Nyctibius grandis
CM021656,05-MAR-2020,19234,Balearica regulorum gibbericeps
CM013787,18-JAN-2019,17830,Strigops habroptila
CM018288,03-OCT-2019,16856,Taeniopygia guttata
CM020500,31-DEC-2019,19053,Sterna hirundo
CM020464,31-DEC-2019,18687,Merops nubicus
CM020379,31-DEC-2019,21618,Cariama cristata
CM020177,23-DEC-2019,24468,Pterocles gutturalis
CM020139,23-DEC-2019,16733,Cygnus olor
CM018859,14-NOV-2019,16895,Corvus moneduloides
CM018327,07-OCT-2019,16703,Colinus virginianus
CM016612,17-MAY-2019,18981,Calypte anna
CM016613,17-MAY-2019,16853,Taeniopygia guttata
CM022134,17-MAR-2020,16844,Melanerpes aurifrons
CM020378,31-DEC-2019,18726,Catharus ustulatus
CM026823,03-NOV-2020,19935,Pogoniulus pusillus
CM026719,03-NOV-2020,18488,Falco rusticolus
CM019239,12-DEC-2019,17031,Malurus cyaneus samueli
CM017350,29-JUL-2019,16810,Serinus canaria
CM016794,05-JUN-2019,16813,Lonchura striata domestica
CM008858,05-DEC-2017,16774,Gallus gallus
CM004555,31-AUG-2016,16809,Passer domesticus
CM002877,12-AUG-2014,16946,Corvus cornix cornix
CM016737,14-JUN-2019,16641,Centrocercus minimus
CM027538,08-DEC-2020,16808,Setophaga coronata coronata
CM025720,21-SEP-2020,16725,Numida meleagris
CM022184,19-MAR-2020,16859,Poecile atricapillus
CM021836,10-MAR-2020,16723,Heteronetta atricapilla
CM021833,10-MAR-2020,25624,Nettapus auritus
CM021835,10-MAR-2020,16778,Stictonetta naevosa
CM021834,10-MAR-2020,15914,Oxyura jamaicensis
NC_036403,07-DEC-2017,16826,Lonchura grandis x Lonchura castaneothorax
MF770420,15-NOV-2017,16826,Lonchura grandis x Lonchura castaneothorax
NC_034374,20-APR-2017,16785,Numida meleagris
KY865420,06-APR-2017,16785,Numida meleagris
CM002021,26-JUN-2013,16970,Ara macao
MH041488,15-JUN-2020,16723,Anthropoides paradiseus
NC_024698,13-AUG-2014,16946,Corvus cornix cornix
MH041490,02-FEB-2019,16747,Grus leucogeranus
KY094500,03-JUL-2017,16783,Gallus gallus
NC_028408,17-NOV-2015,17184,Gallicrex cinerea
KP057881,01-NOV-2015,17184,Gallicrex cinerea
NC_023777,13-MAR-2014,16586,Ichthyaetus relictus
KC760146,12-MAR-2014,16586,Ichthyaetus relictus
NC_051886,10-DEC-2020,17397,Myzornis pyrrhoura
MW067132,09-DEC-2020,17045,Laterallus spilonota
MT366880,30-SEP-2020,16772,Phoenicurus auroreus
NC_050289,15-SEP-2020,16961,Alcippe vinipectus
MK612108,16-AUG-2020,17397,Myzornis pyrrhoura
MT263986,01-AUG-2020,16961,Alcippe vinipectus
MN276053,22-JUL-2020,17604,Otus sunia
NC_046877,10-APR-2020,16902,Calidris pugnax
MN956840,08-APR-2020,16902,Calidris pugnax
