accession,submission_date,sequence_length,organism
CM020436,31-DEC-2019,19093,Lacerta agilis
AY605475,29-AUG-2004,17423,Amphisbaena schmidti
NC_006284,17-SEP-2004,17423,Amphisbaena schmidti
NC_013876,19-FEB-2010,16907,Amphipholis squamata
KX644918,03-MAR-2017,21433,Darevskia unisexualis
AY753545,11-MAY-2005,17199,Teratoscincus keyserlingii
AB079613,26-JUN-2004,17184,Smaug warreni
AB079597,26-JUN-2004,16218,Rena humilis
AB079242,26-JUN-2004,17072,Sceloporus occidentalis
MN977920,25-AUG-2020,16777,Tropidophorus hangnam
MT872513,31-OCT-2020,16506,Calotes mystaceus
MT107158,24-OCT-2020,16693,Teratoscincus roborowskii
MT731652,13-OCT-2020,17224,Gloydius saxatilis changdaoensis
MT712129,12-OCT-2020,17839,Hydrophis curtus
MT662111,14-SEP-2020,17643,Plestiodon liui
MK680534,08-SEP-2020,17105,Gekko subpalmatus
MK347418,08-SEP-2020,17146,Oligodon chinensis
MN356397,07-SEP-2020,16701,Callipepla squamata
MN702771,04-AUG-2020,17466,Scincella modesta
NC_049067,28-JUN-2020,17196,Orientocoluber spinalis
NC_048521,01-JUN-2020,17511,Scincella modesta
MT304473,07-JUN-2020,17196,Orientocoluber spinalis
NC_047179,26-APR-2020,16708,Draco maculatus
NC_046823,10-APR-2020,17051,Opisthotropis latouchii
MN786972,26-APR-2020,17511,Scincella modesta
KY073263,26-MAR-2020,16708,Draco maculatus
MK570292,15-MAR-2020,17051,Opisthotropis latouchii
MK775531,15-JAN-2020,18259,Emydocephalus ijimae
MK284225,25-FEB-2020,16060,Phrynocephalus forsythii
MK775532,15-JAN-2020,17182,Hydrophis melanocephalus
MK775530,15-JAN-2020,18101,Hydrophis platurus
MK256359,30-NOV-2019,17873,Pseudocalotes microlepis
MG582067,31-OCT-2019,18606,Eryx tataricus
NC_044899,26-SEP-2019,16615,Iguana delicatissima
MK923980,24-SEP-2019,16615,Iguana delicatissima
NC_044125,01-AUG-2019,17132,Anolis punctatus
MK091854,06-JUL-2019,17132,Anolis punctatus
NC_041147,18-MAR-2019,17210,Isopachys gyldenstolpei
MH020638,05-FEB-2019,17210,Isopachys gyldenstolpei
KC119493,27-JAN-2013,17937,Phrynocephalus axillaris
NC_039453,10-OCT-2018,17873,Pseudocalotes microlepis
KX898132,05-OCT-2018,17873,Pseudocalotes microlepis
KY695463,06-FEB-2018,17237,Protobothrops kaulbacki
NC_036492,18-DEC-2017,16946,Phrynosoma blainvillii
MG387969,04-DEC-2017,16946,Phrynosoma blainvillii
NC_036234,04-NOV-2017,17224,Gloydius strauchi
MF523224,25-OCT-2017,17224,Gloydius strauchi
KT005800,30-JUN-2017,17956,Gekko japonicus
EU579523,18-OCT-2008,17234,Bungarus fasciatus
DQ008215,24-MAY-2006,16220,Xenagama taylori
AY605484,29-AUG-2004,16196,Bipes canaliculatus
AY605483,29-AUG-2004,16199,Bipes canaliculatus
AY605482,29-AUG-2004,16200,Bipes canaliculatus
AY605481,29-AUG-2004,16430,Bipes biporus
