accession,submission_date,sequence_length,organism
CM010854,23-OCT-2018,16546,Pangasianodon hypophthalmus
CM019797,18-DEC-2019,16525,Notolabrus celidotus
CM011763,28-NOV-2018,16638,Amphiprion percula
CM003499,06-OCT-2015,16589,Maylandia zebra
CM026221,02-OCT-2020,16452,Xenentodon cancila
CM026089,02-OCT-2020,16511,Anableps anableps
CM023770,23-JUN-2020,17143,Megalops cyprinoides
CM023706,23-JUN-2020,17309,Electrophorus electricus
CM023630,18-JUN-2020,19188,Antennarius maculatus
CM021655,05-MAR-2020,17081,Esox lucius
CM020616,03-JAN-2020,16496,Periophthalmus magnuspinnatus
CM020214,31-DEC-2019,17607,Hippoglossus hippoglossus
CM020140,23-DEC-2019,17282,Cyclopterus lumpus
CM017295,24-JUL-2019,16663,Archocentrus centrarchus
CM015041,19-MAR-2019,16657,Thymallus thymallus
CM010491,09-AUG-2018,16579,Carassius auratus
CM009581,12-MAR-2018,16530,Seriola rivoliana
CM002536,18-MAR-2014,16702,Anguilla japonica
CM020933,30-JAN-2020,16952,Perca fluviatilis
CM018571,22-OCT-2019,16517,Pangasianodon hypophthalmus
CM026822,03-NOV-2020,17611,Sebastes umbrosus
CM026751,03-NOV-2020,16708,Pygocentrus nattereri
CM025915,02-OCT-2020,16524,Silurus glanis
CM023252,09-JUN-2020,16580,Carassius auratus
CM018699,04-NOV-2019,16660,Oncorhynchus kisutch
CM010607,22-AUG-2018,16549,Perca fluviatilis
CM017586,08-AUG-2019,16418,Arapaima gigas
CM014831,15-MAR-2019,16715,Oryzias latipes
EU366230,08-JUN-2009,16731,Cynoglossus semilaevis
DQ356938,30-SEP-2006,15511,Gadus macrocephalus
DQ356946,30-SEP-2006,15502,Gadus chalcogrammus
DQ356945,30-SEP-2006,15512,Pollachius virens
DQ356944,30-SEP-2006,15511,Microgadus proximus
DQ356943,30-SEP-2006,15511,Merlangius merlangus
DQ356942,30-SEP-2006,15511,Melanogrammus aeglefinus
DQ356941,30-SEP-2006,15564,Gadus ogac
DQ356940,30-SEP-2006,15504,Gadus ogac
DQ356937,30-SEP-2006,15511,Gadus macrocephalus
DQ356936,30-SEP-2006,15564,Boreogadus saida
CM003870,04-APR-2016,16682,Anguilla rostrata
NC_012825,19-JUN-2009,16731,Cynoglossus semilaevis
NC_012323,24-MAR-2009,15564,Gadus ogac
NC_017838,01-MAY-2012,16656,Oncorhynchus keta
KF955012,31-DEC-2015,16605,Abbottina obtusirostris
CM027910,17-DEC-2020,16508,Cyprinodon tularosa
CM024214,23-JUL-2020,16521,Amphilophus citrinellus
CM021417,21-FEB-2020,16280,Gadus morhua
CM021098,06-FEB-2020,16781,Poeciliopsis retropinna
CM015599,17-APR-2019,16698,Esox lucius
CM014102,30-JAN-2019,16606,Labeo rohita
CM012069,14-DEC-2018,16581,Pungitius pungitius
NC_021392,10-JUN-2013,16538,Scomberomorus munroi x Scomberomorus semifasciatus
NC_021391,10-JUN-2013,16548,Scomberomorus semifasciatus
NC_021390,10-JUN-2013,16796,Scomberomorus munroi
JX559746,17-MAY-2013,16538,Scomberomorus munroi x Scomberomorus semifasciatus
JX559745,17-MAY-2013,16548,Scomberomorus semifasciatus
JX559743,17-MAY-2013,16538,Scomberomorus munroi x Scomberomorus semifasciatus
JX559742,17-MAY-2013,16796,Scomberomorus munroi x Scomberomorus semifasciatus
JX559741,17-MAY-2013,16795,Scomberomorus munroi x Scomberomorus semifasciatus
JX559740,17-MAY-2013,16796,Scomberomorus munroi x Scomberomorus semifasciatus
JX559739,17-MAY-2013,16796,Scomberomorus munroi
NC_051927,10-DEC-2020,16837,Brycon nattereri
MT428072,31-OCT-2020,16730,Astyanax altiparanae
MT428071,31-OCT-2020,16626,Psalidodon fasciatus
MT428070,31-OCT-2020,16812,Psalidodon rivularis
MT428069,31-OCT-2020,16779,Psalidodon rivularis
