accession,submission_date,sequence_length,organism
CM017320,25-JUL-2019,16845,Gopherus evgoodei
CM019965,19-DEC-2019,16625,Dermochelys coriacea
DQ080041,18-DEC-2005,19403,Stigmochelys pardalis
DQ080040,18-DEC-2005,16455,Manouria emys
DQ080049,18-DEC-2005,19278,Testudo graeca
NC_007693,06-JAN-2006,16455,Manouria emys
NC_007692,06-JAN-2006,19278,Testudo graeca
NC_007694,06-JAN-2006,19403,Stigmochelys pardalis
MK580979,16-JUN-2020,16568,Pangshura sylhetensis
DQ256377,15-MAR-2006,19043,Platysternon megacephalum
DQ080042,18-DEC-2005,19202,Malacochersus tornieri
DQ080048,18-DEC-2005,17670,Testudo kleinmanni
DQ080047,18-DEC-2005,19438,Testudo marginata
DQ080045,18-DEC-2005,17093,Testudo horsfieldii
DQ080044,18-DEC-2005,16952,Indotestudo forstenii
DQ080043,18-DEC-2005,16788,Indotestudo elongata
DQ080050,18-DEC-2005,17674,Testudo graeca
NC_016923,22-FEB-2012,16737,Caretta caretta
KJ680321,30-JUN-2014,16721,Cuora flavomarginata
NC_007970,20-APR-2006,19043,Platysternon megacephalum
NC_007700,06-JAN-2006,19202,Malacochersus tornieri
NC_007696,06-JAN-2006,16952,Indotestudo forstenii
NC_007698,06-JAN-2006,19438,Testudo marginata
NC_007699,06-JAN-2006,17670,Testudo kleinmanni
NC_007697,06-JAN-2006,17093,Testudo horsfieldii
NC_007695,06-JAN-2006,16788,Indotestudo elongata
MT039230,21-NOV-2020,16763,Amyda cartilaginea
MT683848,19-OCT-2020,16614,Chitra vandijki
NC_036346,01-DEC-2017,16513,Mesoclemmys hogei
MF615513,08-NOV-2017,16513,Mesoclemmys hogei
NC_032300,27-DEC-2016,16463,Batagur trivittata
KX817298,03-DEC-2016,16463,Batagur trivittata
AY962573,16-JAN-2007,17042,Pelodiscus sinensis
KP256531,18-FEB-2015,16362,Caretta caretta
KP221806,14-FEB-2015,16386,Eretmochelys imbricata
KC333650,19-MAY-2013,16458,Mauremys sinensis
NC_044641,21-SEP-2019,17448,Geoemyda spengleri
MG431983,15-SEP-2019,17145,Pelodiscus sinensis
MH748151,09-SEP-2019,17448,Geoemyda spengleri
MH795989,11-DEC-2018,16657,Pangshura tentoria
NC_039559,06-NOV-2018,16796,Nilssonia nigricans
MG383833,30-SEP-2018,16796,Nilssonia nigricans
MF460363,21-OCT-2017,16501,Dermochelys coriacea
NC_035731,31-AUG-2017,16414,Pseudemydura umbrina
KY486272,08-AUG-2017,16414,Pseudemydura umbrina
KT962834,01-JUL-2017,17424,Pelochelys cantorii
KU997642,28-MAR-2017,16778,Rafetus swinhoei
NC_031300,28-SEP-2016,16717,Malaclemys terrapin terrapin
