#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Mus musculus,Mammalia,,SAMEA3138312,PRJNA13183,GCA_000181195.1,Contig,2477.64,41.7,,CAAA01,224713,0,5/15/2002,1,2002,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/195/GCA_000181195.1_ASM18119v1,
Homo sapiens,Mammalia,,NA,PRJNA31257,GCA_000001405.28, Chromosome,3272.09,41.4778,chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2,,919,121425,8/2/2002,2,2002,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.28_GRCh38.p13,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.39_GRCh38.p13
Takifugu rubripes,Osteichthyes,,SAMEA3138310,PRJNA1434,GCA_000180615.2, Chromosome,391.485,45.8415,chromosome 1:HE602535.1; chromosome 2:HE602536.1; chromosome 3:HE602537.1; chromosome 4:HE602538.1; chromosome 5:HE602539.1; chromosome 6:HE602540.1; chromosome 7:HE602541.1; chromosome 8:HE602542.1; chromosome 9:HE602543.1; chromosome 10:HE602544.1; chromosome 11:HE602545.1; chromosome 12:HE602546.1; chromosome 13:HE602547.1; chromosome 14:HE602548.1; chromosome 15:HE602549.1; chromosome 16:HE602550.1; chromosome 17:HE602551.1; chromosome 18:HE602552.1; chromosome 19:HE602553.1; chromosome 20:HE602554.1; chromosome 21:HE602555.1; chromosome 22:HE602556.1,CAAB02,7091,0,8/22/2002,3,2002,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/615/GCA_000180615.2_FUGU5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/615/GCF_000180615.1_FUGU5
Rattus norvegicus,Mammalia,mixed,SAMN02808228,PRJNA10629,GCA_000001895.4, Chromosome,2870.18,42.3282,chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1,AABR07,1395,56113,11/27/2002,4,2002,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0
Canis lupus familiaris,Mammalia,,SAMN03004377,PRJNA10628,GCA_000181415.1,Contig,1517.48,41.1,,AACN01,1089636,0,9/27/2003,5,2003,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/415/GCA_000181415.1_ASM18141v1,
Pan troglodytes,Mammalia,Yerkes chimp pedigree #C0471 (Clint),SAMN02981217,PRJNA13184,GCA_000325845.1,Contig,2733.95,40.7,,AADA01,361864,0,12/5/2003,6,2003,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/845/GCA_000325845.1_ASM32584v1,
Pan troglodytes,Mammalia,Yerkes chimp pedigree #C0471 (Clint),SAMN02981217,PRJNA13184,GCA_000001515.5, Chromosome,3231.17,41.0646,chromosome 1:CM000314.3; chromosome 2A:CM000315.3; chromosome 2B:CM000316.3; chromosome 3:CM000317.3; chromosome 4:CM000318.3; chromosome 5:CM000319.3; chromosome 6:CM000320.3; chromosome 7:CM000321.4; chromosome 8:CM000322.4; chromosome 9:CM000323.3; chromosome 10:CM000324.3; chromosome 11:CM000325.3; chromosome 12:CM000326.3; chromosome 13:CM000327.3; chromosome 14:CM000328.3; chromosome 15:CM000329.3; chromosome 16:CM000330.3; chromosome 17:CM000331.3; chromosome 18:CM000332.3; chromosome 19:CM000333.3; chromosome 20:CM000334.4; chromosome 22:CM000335.3; chromosome X:CM000336.3; chromosome Y:NC_006492.4/DP000054.3,AACZ04,45511,119,12/6/2003,7,2003,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/515/GCA_000001515.5_Pan_tro_3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/515/GCF_000001515.7_Pan_tro_3.0
Homo sapiens,Mammalia,,SAMN02981219,PRJNA1431,GCA_000002115.2, Chromosome,2863.65,41.1991,chromosome 1:CH003448.1; chromosome 2:CH003449.1; chromosome 3:CH003450.1; chromosome 4:CH003451.1; chromosome 5:CH003452.1; chromosome 6:CH003453.1; chromosome 7:CH003454.1; chromosome 8:CH003455.1; chromosome 9:CH003456.1; chromosome 10:CH003457.1; chromosome 11:CH003458.1; chromosome 12:CH003459.1; chromosome 13:CH003460.1; chromosome 14:CH003461.1; chromosome 15:CH003462.1; chromosome 16:CH003463.1; chromosome 17:CH003464.1; chromosome 18:CH003465.1; chromosome 19:CH003466.1; chromosome 20:CH003467.1; chromosome 21:CH003468.1; chromosome 22:CH003469.1; chromosome X:CH003470.1; chromosome Y:CH003471.1,AADD01,4940,0,2/3/2004,8,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/115/GCA_000002115.2_WGSA,
Homo sapiens,Mammalia,,SAMN02981219,PRJNA1431,GCA_000365445.1, Chromosome,2992.79,41.7015,chromosome 1:CH003496.1; chromosome 2:CH003497.1; chromosome 3:CH003498.1; chromosome 4:CH003499.1; chromosome 5:CH003500.1; chromosome 6:CH003501.1; chromosome 7:CH003502.1; chromosome 8:CH003503.1; chromosome 9:CH003504.1; chromosome 10:CH003505.1; chromosome 11:CH003506.1; chromosome 12:CH003507.1; chromosome 13:CH003508.1; chromosome 14:CH003509.1; chromosome 15:CH003510.1; chromosome 16:CH003511.1; chromosome 17:CH003512.1; chromosome 18:CH003513.1; chromosome 19:CH003514.1; chromosome 20:CH003515.1; chromosome 21:CH003516.1; chromosome 22:CH003517.1; chromosome X:CH003518.1; chromosome Y:CH003519.1,AADC01,54061,0,2/4/2004,9,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/365/445/GCA_000365445.1_CSA,
Gallus gallus,Aves,RJF #256,SAMN02981218,PRJNA13342,GCA_000002315.5, Chromosome,1065.37,42.3032,chromosome 1:NC_006088.5/CM000093.5; chromosome 2:NC_006089.5/CM000094.5; chromosome 3:NC_006090.5/CM000095.5; chromosome 4:NC_006091.5/CM000096.5; chromosome 5:NC_006092.5/CM000097.5; chromosome 6:NC_006093.5/CM000098.5; chromosome 7:NC_006094.5/CM000099.5; chromosome 8:NC_006095.5/CM000100.5; chromosome 9:NC_006096.5/CM000101.5; chromosome 10:NC_006097.5/CM000102.5; chromosome 11:NC_006098.5/CM000103.5; chromosome 12:NC_006099.5/CM000104.5; chromosome 13:NC_006100.5/CM000105.5; chromosome 14:NC_006101.5/CM000106.5; chromosome 15:NC_006102.5/CM000107.5; chromosome 16:NC_006103.5/CM000108.5; chromosome 17:NC_006104.5/CM000109.5; chromosome 18:NC_006105.5/CM000110.5; chromosome 19:NC_006106.5/CM000111.5; chromosome 20:NC_006107.5/CM000112.5; chromosome 21:NC_006108.5/CM000113.5; chromosome 22:NC_006109.5/CM000114.5; chromosome 23:NC_006110.5/CM000115.5; chromosome 24:NC_006111.5/CM000116.5; chromosome 25:NC_006112.4/CM000124.5; chromosome 26:NC_006113.5/CM000117.5; chromosome 27:NC_006114.5/CM000118.5; chromosome 28:NC_006115.5/CM000119.5; chromosome 30:NC_028739.2/CM003637.2; chromosome 31:NC_028740.2/CM003638.2; chromosome 32:NC_006119.4/CM000120.4; chromosome 33:NC_008465.4/CM000123.5; chromosome W:NC_006126.5/CM000121.5; chromosome Z:NC_006127.5/CM000122.5; mitochondrion MT:NC_040902.1/,AADN05,525,49681,2/29/2004,10,2004,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/315/GCA_000002315.5_GRCg6a,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.6_GRCg6a
